[1/54] ann-thyroid: cv=0.996 test=0.9951 {'n_estimators': 100, 'max_depth': 9, 'criterion': 'gini', 'min_samples_split': 14, 'min_samples_leaf': 2} (12s)
[2/54] appendicitis: cv=0.881 test=0.9091 {'n_estimators': 68, 'max_depth': 6, 'criterion': 'log_loss', 'min_samples_split': 5, 'min_samples_leaf': 5} (9s)
[3/54] banknote: cv=0.9927 test=0.9964 {'n_estimators': 44, 'max_depth': 10, 'criterion': 'gini', 'min_samples_split': 4, 'min_samples_leaf': 1} (9s)
[4/54] biodegradation: cv=0.8827 test=0.8578 {'n_estimators': 88, 'max_depth': 10, 'criterion': 'log_loss', 'min_samples_split': 3, 'min_samples_leaf': 1} (11s)
[5/54] breast-cancer: cv=0.7412 test=0.7759 {'n_estimators': 64, 'max_depth': 3, 'criterion': 'entropy', 'min_samples_split': 10, 'min_samples_leaf': 2} (9s)
[6/54] breast-cancer-wisconsin: cv=0.9737 test=0.9561 {'n_estimators': 40, 'max_depth': 9, 'criterion': 'log_loss', 'min_samples_split': 2, 'min_samples_leaf': 1} (8s)
[7/54] bupa: cv=0.75 test=0.7536 {'n_estimators': 98, 'max_depth': 8, 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 3} (10s)
[8/54] cloud: cv=0.4429 test=0.3636 {'n_estimators': 44, 'max_depth': 10, 'criterion': 'gini', 'min_samples_split': 4, 'min_samples_leaf': 1} (9s)
[9/54] diabetes: cv=0.7834 test=0.7143 {'n_estimators': 68, 'max_depth': 8, 'criterion': 'entropy', 'min_samples_split': 16, 'min_samples_leaf': 7} (9s)
[10/54] ecoli: cv=0.8851 test=0.8788 {'n_estimators': 39, 'max_depth': 9, 'criterion': 'gini', 'min_samples_split': 9, 'min_samples_leaf': 2} (9s)
[11/54] factors: cv=0.9638 test=0.9525 {'n_estimators': 44, 'max_depth': 10, 'criterion': 'gini', 'min_samples_split': 13, 'min_samples_leaf': 2} (10s)
[12/54] fourier: cv=0.8294 test=0.815 {'n_estimators': 90, 'max_depth': 8, 'criterion': 'log_loss', 'min_samples_split': 4, 'min_samples_leaf': 6} (12s)
[13/54] glass: cv=0.7929 test=0.7805 {'n_estimators': 67, 'max_depth': 9, 'criterion': 'gini', 'min_samples_split': 7, 'min_samples_leaf': 3} (10s)
[14/54] glass2: cv=0.8 test=0.8485 {'n_estimators': 12, 'max_depth': 5, 'criterion': 'gini', 'min_samples_split': 13, 'min_samples_leaf': 5} (7s)
[15/54] haberman: cv=0.7705 test=0.629 {'n_estimators': 44, 'max_depth': 4, 'criterion': 'log_loss', 'min_samples_split': 11, 'min_samples_leaf': 2} (9s)
[16/54] heart-c: cv=0.8594 test=0.7869 {'n_estimators': 33, 'max_depth': 4, 'criterion': 'log_loss', 'min_samples_split': 10, 'min_samples_leaf': 5} (9s)
[17/54] heart-h: cv=0.8213 test=0.8475 {'n_estimators': 39, 'max_depth': 4, 'criterion': 'gini', 'min_samples_split': 5, 'min_samples_leaf': 5} (7s)
[18/54] heart-sa: cv=0.7182 test=0.6882 {'n_estimators': 48, 'max_depth': 4, 'criterion': 'gini', 'min_samples_split': 17, 'min_samples_leaf': 4} (9s)
[19/54] ionosphere: cv=0.9358 test=0.9577 {'n_estimators': 70, 'max_depth': 6, 'criterion': 'entropy', 'min_samples_split': 4, 'min_samples_leaf': 4} (10s)
[20/54] iris: cv=0.9667 test=0.9333 {'n_estimators': 26, 'max_depth': 5, 'criterion': 'log_loss', 'min_samples_split': 6, 'min_samples_leaf': 6} (9s)
[21/54] karhunen: cv=0.9513 test=0.965 {'n_estimators': 96, 'max_depth': 10, 'criterion': 'entropy', 'min_samples_split': 5, 'min_samples_leaf': 2} (13s)
[22/54] letter: cv=0.8994 test=0.9038 {'n_estimators': 100, 'max_depth': 10, 'criterion': 'entropy', 'min_samples_split': 19, 'min_samples_leaf': 1} (15s)
[23/54] lupus: cv=0.8116 test=0.8889 {'n_estimators': 28, 'max_depth': 9, 'criterion': 'entropy', 'min_samples_split': 8, 'min_samples_leaf': 8} (7s)
[24/54] magic: cv=0.8647 test=0.8754 {'n_estimators': 44, 'max_depth': 10, 'criterion': 'log_loss', 'min_samples_split': 6, 'min_samples_leaf': 4} (16s)
[25/54] mammo: cv=0.8151 test=0.7876 {'n_estimators': 12, 'max_depth': 5, 'criterion': 'log_loss', 'min_samples_split': 2, 'min_samples_leaf': 4} (9s)
[26/54] messidor: cv=0.6848 test=0.7316 {'n_estimators': 64, 'max_depth': 10, 'criterion': 'gini', 'min_samples_split': 8, 'min_samples_leaf': 5} (11s)
[27/54] mofn-3-7-10: cv=0.9764 test=0.9774 {'n_estimators': 75, 'max_depth': 10, 'criterion': 'log_loss', 'min_samples_split': 3, 'min_samples_leaf': 1} (11s)
[28/54] new-thyroid: cv=0.9594 test=1.0 {'n_estimators': 51, 'max_depth': 9, 'criterion': 'gini', 'min_samples_split': 4, 'min_samples_leaf': 1} (9s)
[29/54] pendigits: cv=0.9843 test=0.9804 {'n_estimators': 44, 'max_depth': 10, 'criterion': 'gini', 'min_samples_split': 4, 'min_samples_leaf': 1} (14s)
[30/54] phoneme: cv=0.8885 test=0.8862 {'n_estimators': 56, 'max_depth': 10, 'criterion': 'entropy', 'min_samples_split': 2, 'min_samples_leaf': 1} (11s)
[31/54] pima: cv=0.7541 test=0.7468 {'n_estimators': 16, 'max_depth': 9, 'criterion': 'entropy', 'min_samples_split': 6, 'min_samples_leaf': 1} (8s)
[32/54] ring: cv=0.9353 test=0.9324 {'n_estimators': 82, 'max_depth': 10, 'criterion': 'entropy', 'min_samples_split': 14, 'min_samples_leaf': 1} (14s)
[33/54] segmentation: cv=0.9048 test=0.881 {'n_estimators': 75, 'max_depth': 6, 'criterion': 'entropy', 'min_samples_split': 2, 'min_samples_leaf': 1} (10s)
[34/54] seismic_bumps: cv=0.9342 test=0.9342 {'n_estimators': 88, 'max_depth': 7, 'criterion': 'log_loss', 'min_samples_split': 17, 'min_samples_leaf': 3} (10s)
[35/54] shuttle: cv=0.9997 test=0.9996 {'n_estimators': 19, 'max_depth': 10, 'criterion': 'entropy', 'min_samples_split': 4, 'min_samples_leaf': 2} (14s)
[36/54] sonar: cv=0.8494 test=0.7381 {'n_estimators': 61, 'max_depth': 6, 'criterion': 'gini', 'min_samples_split': 13, 'min_samples_leaf': 7} (10s)
[37/54] spambase: cv=0.9405 test=0.9392 {'n_estimators': 91, 'max_depth': 10, 'criterion': 'gini', 'min_samples_split': 4, 'min_samples_leaf': 1} (12s)
[38/54] spect: cv=0.8592 test=0.7778 {'n_estimators': 53, 'max_depth': 9, 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 2} (10s)
[39/54] spectf: cv=0.8404 test=0.8148 {'n_estimators': 10, 'max_depth': 8, 'criterion': 'entropy', 'min_samples_split': 10, 'min_samples_leaf': 7} (8s)
[40/54] texture: cv=0.965 test=0.9773 {'n_estimators': 89, 'max_depth': 10, 'criterion': 'entropy', 'min_samples_split': 11, 'min_samples_leaf': 4} (15s)
[41/54] threeOf9: cv=1.0 test=1.0 {'n_estimators': 44, 'max_depth': 10, 'criterion': 'gini', 'min_samples_split': 4, 'min_samples_leaf': 1} (9s)
[42/54] twonorm: cv=0.9709 test=0.9696 {'n_estimators': 80, 'max_depth': 9, 'criterion': 'gini', 'min_samples_split': 4, 'min_samples_leaf': 3} (14s)
[43/54] vehicle: cv=0.7559 test=0.7294 {'n_estimators': 59, 'max_depth': 10, 'criterion': 'gini', 'min_samples_split': 12, 'min_samples_leaf': 1} (10s)
[44/54] vowel: cv=0.9015 test=0.9545 {'n_estimators': 95, 'max_depth': 10, 'criterion': 'gini', 'min_samples_split': 4, 'min_samples_leaf': 1} (11s)
[45/54] waveform-21: cv=0.859 test=0.831 {'n_estimators': 69, 'max_depth': 9, 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 2} (13s)
[46/54] waveform-40: cv=0.853 test=0.864 {'n_estimators': 60, 'max_depth': 10, 'criterion': 'gini', 'min_samples_split': 6, 'min_samples_leaf': 1} (13s)
[47/54] wdbc: cv=0.9737 test=0.9561 {'n_estimators': 40, 'max_depth': 9, 'criterion': 'log_loss', 'min_samples_split': 2, 'min_samples_leaf': 1} (8s)
[48/54] wine-quality-red: cv=0.6568 test=0.7094 {'n_estimators': 93, 'max_depth': 10, 'criterion': 'log_loss', 'min_samples_split': 4, 'min_samples_leaf': 1} (11s)
[49/54] wine-quality-white: cv=0.6223 test=0.6143 {'n_estimators': 53, 'max_depth': 10, 'criterion': 'log_loss', 'min_samples_split': 3, 'min_samples_leaf': 1} (10s)
[50/54] wine-recog: cv=0.965 test=0.9722 {'n_estimators': 24, 'max_depth': 4, 'criterion': 'entropy', 'min_samples_split': 16, 'min_samples_leaf': 4} (10s)
[51/54] wine-recognition: cv=0.965 test=0.9722 {'n_estimators': 24, 'max_depth': 4, 'criterion': 'entropy', 'min_samples_split': 16, 'min_samples_leaf': 4} (10s)
[52/54] wpbc: cv=0.8127 test=0.7949 {'n_estimators': 35, 'max_depth': 8, 'criterion': 'entropy', 'min_samples_split': 8, 'min_samples_leaf': 5} (9s)
[53/54] xd6: cv=1.0 test=1.0 {'n_estimators': 44, 'max_depth': 10, 'criterion': 'gini', 'min_samples_split': 4, 'min_samples_leaf': 1} (10s)
[54/54] zernike: cv=0.7863 test=0.745 {'n_estimators': 39, 'max_depth': 9, 'criterion': 'log_loss', 'min_samples_split': 4, 'min_samples_leaf': 1} (11s)
DONE 54 datasets in 565s

