number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.7282608695652174,2026-06-08 13:32:49.680164,2026-06-08 13:32:49.820104,0 days 00:00:00.139940,gini,10,1,4,44,COMPLETE
1,0.717391304347826,2026-06-08 13:32:49.820127,2026-06-08 13:32:50.009940,0 days 00:00:00.189813,log_loss,7,3,17,88,COMPLETE
2,0.6992753623188407,2026-06-08 13:32:50.009959,2026-06-08 13:32:50.102427,0 days 00:00:00.092468,entropy,4,7,7,26,COMPLETE
3,0.7173913043478262,2026-06-08 13:32:50.102450,2026-06-08 13:32:50.193909,0 days 00:00:00.091459,log_loss,5,6,5,22,COMPLETE
4,0.7246376811594203,2026-06-08 13:32:50.193930,2026-06-08 13:32:50.340001,0 days 00:00:00.146071,gini,3,10,20,63,COMPLETE
5,0.7282608695652174,2026-06-08 13:32:50.340023,2026-06-08 13:32:50.531050,0 days 00:00:00.191027,entropy,5,5,4,83,COMPLETE
6,0.6847826086956522,2026-06-08 13:32:50.531074,2026-06-08 13:32:50.620335,0 days 00:00:00.089261,entropy,10,6,11,13,COMPLETE
7,0.6920289855072465,2026-06-08 13:32:50.620360,2026-06-08 13:32:50.714652,0 days 00:00:00.094292,entropy,10,10,13,26,COMPLETE
8,0.7137681159420289,2026-06-08 13:32:50.714674,2026-06-08 13:32:50.804740,0 days 00:00:00.090066,log_loss,4,9,7,18,COMPLETE
9,0.7028985507246377,2026-06-08 13:32:50.804766,2026-06-08 13:32:50.959119,0 days 00:00:00.154353,log_loss,5,10,3,42,COMPLETE
10,0.7246376811594203,2026-06-08 13:32:50.959147,2026-06-08 13:32:51.102390,0 days 00:00:00.143243,gini,8,1,10,56,COMPLETE
11,0.7391304347826088,2026-06-08 13:32:51.102411,2026-06-08 13:32:51.302139,0 days 00:00:00.199728,gini,7,3,2,92,COMPLETE
12,0.7391304347826088,2026-06-08 13:32:51.302162,2026-06-08 13:32:51.499141,0 days 00:00:00.196979,gini,8,1,2,100,COMPLETE
