number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.8735632183908045,2026-06-08 13:33:18.808323,2026-06-08 13:33:18.949451,0 days 00:00:00.141128,gini,10,1,4,44,COMPLETE
1,0.8544061302681992,2026-06-08 13:33:18.949473,2026-06-08 13:33:19.143155,0 days 00:00:00.193682,log_loss,7,3,17,88,COMPLETE
2,0.8352490421455938,2026-06-08 13:33:19.143177,2026-06-08 13:33:19.236242,0 days 00:00:00.093065,entropy,4,7,7,26,COMPLETE
3,0.8620689655172414,2026-06-08 13:33:19.236264,2026-06-08 13:33:19.329881,0 days 00:00:00.093617,log_loss,5,6,5,22,COMPLETE
4,0.8122605363984675,2026-06-08 13:33:19.329908,2026-06-08 13:33:19.472561,0 days 00:00:00.142653,gini,3,10,20,63,COMPLETE
5,0.8544061302681992,2026-06-08 13:33:19.472584,2026-06-08 13:33:19.663244,0 days 00:00:00.190660,entropy,5,5,4,83,COMPLETE
6,0.8620689655172414,2026-06-08 13:33:19.663275,2026-06-08 13:33:19.751049,0 days 00:00:00.087774,entropy,10,6,11,13,COMPLETE
7,0.8084291187739464,2026-06-08 13:33:19.751079,2026-06-08 13:33:19.846639,0 days 00:00:00.095560,entropy,10,10,13,26,COMPLETE
8,0.8160919540229884,2026-06-08 13:33:19.846666,2026-06-08 13:33:19.939309,0 days 00:00:00.092643,log_loss,4,9,7,18,COMPLETE
9,0.8160919540229884,2026-06-08 13:33:19.939338,2026-06-08 13:33:20.083205,0 days 00:00:00.143867,log_loss,5,10,3,42,COMPLETE
10,0.8773946360153256,2026-06-08 13:33:20.083228,2026-06-08 13:33:20.230672,0 days 00:00:00.147444,gini,8,1,10,56,COMPLETE
11,0.8697318007662834,2026-06-08 13:33:20.230697,2026-06-08 13:33:20.375349,0 days 00:00:00.144652,gini,8,1,11,56,COMPLETE
12,0.8773946360153256,2026-06-08 13:33:20.375370,2026-06-08 13:33:20.516966,0 days 00:00:00.141596,gini,8,1,8,41,COMPLETE
