number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.7682379349046015,2026-06-08 13:33:50.383332,2026-06-08 13:33:50.520471,0 days 00:00:00.137139,gini,10,1,4,44,COMPLETE
1,0.7199775533108866,2026-06-08 13:33:50.520495,2026-06-08 13:33:50.714811,0 days 00:00:00.194316,log_loss,7,3,17,88,COMPLETE
2,0.6894500561167227,2026-06-08 13:33:50.714836,2026-06-08 13:33:50.807457,0 days 00:00:00.092621,entropy,4,7,7,26,COMPLETE
3,0.7136924803591471,2026-06-08 13:33:50.807481,2026-06-08 13:33:50.901064,0 days 00:00:00.093583,log_loss,5,6,5,22,COMPLETE
4,0.68327721661055,2026-06-08 13:33:50.901087,2026-06-08 13:33:51.049044,0 days 00:00:00.147957,gini,3,10,20,63,COMPLETE
5,0.7077441077441078,2026-06-08 13:33:51.049066,2026-06-08 13:33:51.242592,0 days 00:00:00.193526,entropy,5,5,4,83,COMPLETE
6,0.6769921436588103,2026-06-08 13:33:51.242614,2026-06-08 13:33:51.328093,0 days 00:00:00.085479,entropy,10,6,11,13,COMPLETE
7,0.6712682379349045,2026-06-08 13:33:51.328119,2026-06-08 13:33:51.422945,0 days 00:00:00.094826,entropy,10,10,13,26,COMPLETE
8,0.6835016835016835,2026-06-08 13:33:51.422966,2026-06-08 13:33:51.515191,0 days 00:00:00.092225,log_loss,4,9,7,18,COMPLETE
9,0.6894500561167227,2026-06-08 13:33:51.515213,2026-06-08 13:33:51.655184,0 days 00:00:00.139971,log_loss,5,10,3,42,COMPLETE
10,0.7319865319865321,2026-06-08 13:33:51.655212,2026-06-08 13:33:51.800957,0 days 00:00:00.145745,gini,8,1,10,56,COMPLETE
11,0.756341189674523,2026-06-08 13:33:51.800978,2026-06-08 13:33:51.947247,0 days 00:00:00.146269,gini,8,1,11,56,COMPLETE
12,0.7320987654320987,2026-06-08 13:33:51.947271,2026-06-08 13:33:52.088760,0 days 00:00:00.141489,gini,8,1,15,41,COMPLETE
13,0.7685746352413019,2026-06-08 13:33:52.088782,2026-06-08 13:33:52.249420,0 days 00:00:00.160638,gini,9,3,8,70,COMPLETE
14,0.7806958473625141,2026-06-08 13:33:52.249441,2026-06-08 13:33:52.397771,0 days 00:00:00.148330,gini,9,3,2,72,COMPLETE
15,0.7503928170594838,2026-06-08 13:33:52.397789,2026-06-08 13:33:52.546441,0 days 00:00:00.148652,gini,9,3,8,74,COMPLETE
16,0.762401795735129,2026-06-08 13:33:52.546462,2026-06-08 13:33:52.743587,0 days 00:00:00.197125,gini,7,3,8,100,COMPLETE
17,0.7381593714927049,2026-06-08 13:33:52.743610,2026-06-08 13:33:52.890218,0 days 00:00:00.146608,gini,9,4,2,72,COMPLETE
18,0.7381593714927049,2026-06-08 13:33:52.890239,2026-06-08 13:33:53.035922,0 days 00:00:00.145683,gini,9,4,6,68,COMPLETE
19,0.7683501683501683,2026-06-08 13:33:53.035943,2026-06-08 13:33:53.229602,0 days 00:00:00.193659,gini,6,2,2,84,COMPLETE
20,0.6893378226711558,2026-06-08 13:33:53.229624,2026-06-08 13:33:53.425390,0 days 00:00:00.195766,gini,9,8,9,99,COMPLETE
21,0.7683501683501683,2026-06-08 13:33:53.425410,2026-06-08 13:33:53.612360,0 days 00:00:00.186950,gini,6,2,2,85,COMPLETE
22,0.7622895622895624,2026-06-08 13:33:53.612381,2026-06-08 13:33:53.816648,0 days 00:00:00.204267,gini,6,2,5,80,COMPLETE
23,0.7442199775533109,2026-06-08 13:33:53.816673,2026-06-08 13:33:54.018375,0 days 00:00:00.201702,gini,7,4,2,91,COMPLETE
