number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.7539897621198435,2026-06-08 13:34:07.160842,2026-06-08 13:34:07.301152,0 days 00:00:00.140310,gini,10,1,4,44,COMPLETE
1,0.7539897621198435,2026-06-08 13:34:07.301173,2026-06-08 13:34:07.500368,0 days 00:00:00.199195,log_loss,7,3,17,88,COMPLETE
2,0.7335140018066847,2026-06-08 13:34:07.500386,2026-06-08 13:34:07.593718,0 days 00:00:00.093332,entropy,4,7,7,26,COMPLETE
3,0.7416942687945398,2026-06-08 13:34:07.593743,2026-06-08 13:34:07.685792,0 days 00:00:00.092049,log_loss,5,6,5,22,COMPLETE
4,0.7458596808190304,2026-06-08 13:34:07.685816,2026-06-08 13:34:07.830491,0 days 00:00:00.144675,gini,3,10,20,63,COMPLETE
5,0.7540901334939276,2026-06-08 13:34:07.830509,2026-06-08 13:34:08.018993,0 days 00:00:00.188484,entropy,5,5,4,83,COMPLETE
6,0.7498745357823949,2026-06-08 13:34:08.019015,2026-06-08 13:34:08.108361,0 days 00:00:00.089346,entropy,10,6,11,13,COMPLETE
7,0.7417444544815819,2026-06-08 13:34:08.108383,2026-06-08 13:34:08.203607,0 days 00:00:00.095224,entropy,10,10,13,26,COMPLETE
8,0.7457593094449463,2026-06-08 13:34:08.203631,2026-06-08 13:34:08.296183,0 days 00:00:00.092552,log_loss,4,9,7,18,COMPLETE
9,0.7335641874937268,2026-06-08 13:34:08.296209,2026-06-08 13:34:08.437550,0 days 00:00:00.141341,log_loss,5,10,3,42,COMPLETE
10,0.7459098665060725,2026-06-08 13:34:08.437572,2026-06-08 13:34:08.636890,0 days 00:00:00.199318,entropy,7,4,10,98,COMPLETE
11,0.7540399478068855,2026-06-08 13:34:08.636914,2026-06-08 13:34:08.792449,0 days 00:00:00.155535,gini,9,1,2,67,COMPLETE
12,0.758104988457292,2026-06-08 13:34:08.792470,2026-06-08 13:34:08.959280,0 days 00:00:00.166810,gini,8,1,2,73,COMPLETE
13,0.7459098665060725,2026-06-08 13:34:08.959304,2026-06-08 13:34:09.148972,0 days 00:00:00.189668,gini,8,3,7,78,COMPLETE
14,0.7459098665060725,2026-06-08 13:34:09.148994,2026-06-08 13:34:09.342323,0 days 00:00:00.193329,gini,6,4,2,79,COMPLETE
15,0.7581551741443341,2026-06-08 13:34:09.342345,2026-06-08 13:34:09.545375,0 days 00:00:00.203030,entropy,8,2,5,99,COMPLETE
16,0.7663354411321892,2026-06-08 13:34:09.545399,2026-06-08 13:34:09.743959,0 days 00:00:00.198560,gini,8,2,9,100,COMPLETE
17,0.766285255445147,2026-06-08 13:34:09.743976,2026-06-08 13:34:09.939565,0 days 00:00:00.195589,entropy,8,2,9,100,COMPLETE
