number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.9108136963318844,2026-06-08 13:34:40.342034,2026-06-08 13:34:40.480909,0 days 00:00:00.138875,gini,10,1,4,44,COMPLETE
1,0.9214901243041257,2026-06-08 13:34:40.480931,2026-06-08 13:34:40.673820,0 days 00:00:00.192889,log_loss,7,3,17,88,COMPLETE
2,0.914245405322962,2026-06-08 13:34:40.673843,2026-06-08 13:34:40.765385,0 days 00:00:00.091542,entropy,4,7,7,26,COMPLETE
3,0.9071150766415008,2026-06-08 13:34:40.765407,2026-06-08 13:34:40.857863,0 days 00:00:00.092456,log_loss,5,6,5,22,COMPLETE
4,0.9213376039045222,2026-06-08 13:34:40.857886,2026-06-08 13:34:41.000920,0 days 00:00:00.143034,gini,3,10,20,63,COMPLETE
5,0.9215282544040265,2026-06-08 13:34:41.000938,2026-06-08 13:34:41.192717,0 days 00:00:00.191779,entropy,5,5,4,83,COMPLETE
6,0.8929306794783803,2026-06-08 13:34:41.192738,2026-06-08 13:34:41.276555,0 days 00:00:00.083817,entropy,10,6,11,13,COMPLETE
7,0.8999084877602379,2026-06-08 13:34:41.276578,2026-06-08 13:34:41.371353,0 days 00:00:00.094775,entropy,10,10,13,26,COMPLETE
8,0.9142072752230611,2026-06-08 13:34:41.371377,2026-06-08 13:34:41.463305,0 days 00:00:00.091928,log_loss,4,9,7,18,COMPLETE
9,0.9142835354228628,2026-06-08 13:34:41.463330,2026-06-08 13:34:41.602730,0 days 00:00:00.139400,log_loss,5,10,3,42,COMPLETE
10,0.9321665522763669,2026-06-08 13:34:41.602753,2026-06-08 13:34:41.798467,0 days 00:00:00.195714,entropy,7,4,10,98,COMPLETE
11,0.9250362235949058,2026-06-08 13:34:41.798487,2026-06-08 13:34:41.994079,0 days 00:00:00.195592,entropy,7,4,11,95,COMPLETE
12,0.9214519942042249,2026-06-08 13:34:41.994100,2026-06-08 13:34:42.194999,0 days 00:00:00.200899,entropy,8,3,11,100,COMPLETE
13,0.9251124837947075,2026-06-08 13:34:42.195019,2026-06-08 13:34:42.358311,0 days 00:00:00.163292,entropy,8,4,14,74,COMPLETE
14,0.9250743536948067,2026-06-08 13:34:42.358331,2026-06-08 13:34:42.516834,0 days 00:00:00.158503,entropy,8,1,15,71,COMPLETE
15,0.9285823228856859,2026-06-08 13:34:42.516855,2026-06-08 13:34:42.702554,0 days 00:00:00.185699,entropy,8,3,8,78,COMPLETE
16,0.9143597956226645,2026-06-08 13:34:42.702573,2026-06-08 13:34:42.892903,0 days 00:00:00.190330,gini,9,2,8,81,COMPLETE
17,0.924998093495005,2026-06-08 13:34:42.892921,2026-06-08 13:34:43.039450,0 days 00:00:00.146529,entropy,6,8,8,56,COMPLETE
18,0.9214901243041257,2026-06-08 13:34:43.039468,2026-06-08 13:34:43.248528,0 days 00:00:00.209060,entropy,6,4,9,92,COMPLETE
19,0.9108136963318844,2026-06-08 13:34:43.248551,2026-06-08 13:34:43.436983,0 days 00:00:00.188432,gini,9,2,2,75,COMPLETE
20,0.9214901243041257,2026-06-08 13:34:43.437021,2026-06-08 13:34:43.585256,0 days 00:00:00.148235,entropy,7,5,6,62,COMPLETE
21,0.9251124837947075,2026-06-08 13:34:43.585280,2026-06-08 13:34:43.752747,0 days 00:00:00.167467,entropy,8,4,14,73,COMPLETE
22,0.9179440250133455,2026-06-08 13:34:43.752767,2026-06-08 13:34:43.951934,0 days 00:00:00.199167,entropy,9,3,16,83,COMPLETE
23,0.9178677648135438,2026-06-08 13:34:43.951960,2026-06-08 13:34:44.114701,0 days 00:00:00.162741,entropy,8,5,13,68,COMPLETE
24,0.9286204529855868,2026-06-08 13:34:44.114732,2026-06-08 13:34:44.306917,0 days 00:00:00.192185,entropy,7,2,10,100,COMPLETE
