number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.9412542483246785,2026-06-08 13:34:59.301575,2026-06-08 13:34:59.472795,0 days 00:00:00.171220,gini,10,1,4,44,COMPLETE
1,0.9368776833835754,2026-06-08 13:34:59.472822,2026-06-08 13:34:59.720927,0 days 00:00:00.248105,log_loss,7,3,17,88,COMPLETE
2,0.886258499577217,2026-06-08 13:34:59.720958,2026-06-08 13:34:59.854626,0 days 00:00:00.133668,entropy,4,7,7,26,COMPLETE
3,0.9056303916539598,2026-06-08 13:34:59.854659,2026-06-08 13:34:59.984770,0 days 00:00:00.130111,log_loss,5,6,5,22,COMPLETE
4,0.8843858404011872,2026-06-08 13:34:59.984808,2026-06-08 13:35:00.182801,0 days 00:00:00.197993,gini,3,10,20,63,COMPLETE
5,0.9256370437515957,2026-06-08 13:35:00.182833,2026-06-08 13:35:00.404382,0 days 00:00:00.221549,entropy,5,5,4,83,COMPLETE
6,0.9112612517654995,2026-06-08 13:35:00.404410,2026-06-08 13:35:00.494647,0 days 00:00:00.090237,entropy,10,6,11,13,COMPLETE
7,0.9143858638240662,2026-06-08 13:35:00.494679,2026-06-08 13:35:00.624107,0 days 00:00:00.129428,entropy,10,10,13,26,COMPLETE
8,0.8812623994865705,2026-06-08 13:35:00.624137,2026-06-08 13:35:00.741604,0 days 00:00:00.117467,log_loss,4,9,7,18,COMPLETE
9,0.9193843062026126,2026-06-08 13:35:00.741637,2026-06-08 13:35:00.880967,0 days 00:00:00.139330,log_loss,5,10,3,42,COMPLETE
10,0.9393886160123485,2026-06-08 13:35:00.880988,2026-06-08 13:35:01.064588,0 days 00:00:00.183600,gini,8,1,10,56,COMPLETE
11,0.9375089299726187,2026-06-08 13:35:01.064620,2026-06-08 13:35:01.252283,0 days 00:00:00.187663,gini,8,1,11,56,COMPLETE
12,0.9343819756261521,2026-06-08 13:35:01.252310,2026-06-08 13:35:01.400565,0 days 00:00:00.148255,gini,8,1,8,41,COMPLETE
13,0.9468780815725184,2026-06-08 13:35:01.400588,2026-06-08 13:35:01.615789,0 days 00:00:00.215201,gini,9,3,2,70,COMPLETE
14,0.9456296421218319,2026-06-08 13:35:01.615818,2026-06-08 13:35:01.816154,0 days 00:00:00.200336,gini,9,3,2,72,COMPLETE
15,0.946256204135075,2026-06-08 13:35:01.816176,2026-06-08 13:35:02.039333,0 days 00:00:00.223157,gini,9,3,3,74,COMPLETE
