number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.6543328152831889,2026-06-08 13:35:59.646699,2026-06-08 13:35:59.806490,0 days 00:00:00.159791,gini,10,1,4,44,COMPLETE
1,0.6619332495937209,2026-06-08 13:35:59.806513,2026-06-08 13:36:00.016320,0 days 00:00:00.209807,log_loss,7,3,17,88,COMPLETE
2,0.6619261530164001,2026-06-08 13:36:00.016339,2026-06-08 13:36:00.116294,0 days 00:00:00.099955,entropy,4,7,7,26,COMPLETE
3,0.655400850169963,2026-06-08 13:36:00.116318,2026-06-08 13:36:00.224977,0 days 00:00:00.108659,log_loss,5,6,5,22,COMPLETE
4,0.6412893061676354,2026-06-08 13:36:00.224996,2026-06-08 13:36:00.385156,0 days 00:00:00.160160,gini,3,10,20,63,COMPLETE
5,0.669533683904253,2026-06-08 13:36:00.385178,2026-06-08 13:36:00.591511,0 days 00:00:00.206333,entropy,5,5,4,83,COMPLETE
6,0.6565114645206617,2026-06-08 13:36:00.591532,2026-06-08 13:36:00.691102,0 days 00:00:00.099570,entropy,10,6,11,13,COMPLETE
7,0.6380426220433885,2026-06-08 13:36:00.691125,2026-06-08 13:36:00.801464,0 days 00:00:00.110339,entropy,10,10,13,26,COMPLETE
8,0.6510541965609986,2026-06-08 13:36:00.801488,2026-06-08 13:36:00.909945,0 days 00:00:00.108457,log_loss,4,9,7,18,COMPLETE
9,0.6640906090992315,2026-06-08 13:36:00.909968,2026-06-08 13:36:01.069680,0 days 00:00:00.159712,log_loss,5,10,3,42,COMPLETE
10,0.6673727761100822,2026-06-08 13:36:01.069703,2026-06-08 13:36:01.286486,0 days 00:00:00.216783,entropy,7,4,10,98,COMPLETE
11,0.6684656490174788,2026-06-08 13:36:01.286505,2026-06-08 13:36:01.500321,0 days 00:00:00.213816,entropy,7,4,11,95,COMPLETE
12,0.6597723417995501,2026-06-08 13:36:01.500341,2026-06-08 13:36:01.700207,0 days 00:00:00.199866,entropy,8,4,15,75,COMPLETE
13,0.6630261225011177,2026-06-08 13:36:01.700227,2026-06-08 13:36:01.905849,0 days 00:00:00.205622,entropy,6,2,8,81,COMPLETE
14,0.6717229780077069,2026-06-08 13:36:01.905871,2026-06-08 13:36:02.135063,0 days 00:00:00.229192,entropy,8,4,2,97,COMPLETE
15,0.6641189954085145,2026-06-08 13:36:02.135086,2026-06-08 13:36:02.331474,0 days 00:00:00.196388,entropy,8,7,2,68,COMPLETE
16,0.6695478770588945,2026-06-08 13:36:02.331502,2026-06-08 13:36:02.542410,0 days 00:00:00.210908,gini,9,5,2,83,COMPLETE
17,0.6608332801090034,2026-06-08 13:36:02.542439,2026-06-08 13:36:02.760956,0 days 00:00:00.218517,gini,9,8,2,100,COMPLETE
18,0.6695514253475549,2026-06-08 13:36:02.760977,2026-06-08 13:36:02.925864,0 days 00:00:00.164887,gini,9,2,6,56,COMPLETE
