number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.9631728045325779,2026-06-08 13:36:10.858890,2026-06-08 13:36:11.012780,0 days 00:00:00.153890,gini,10,1,4,44,COMPLETE
1,0.8980169971671388,2026-06-08 13:36:11.012800,2026-06-08 13:36:11.223795,0 days 00:00:00.210995,log_loss,7,3,17,88,COMPLETE
2,0.8630783758262512,2026-06-08 13:36:11.223817,2026-06-08 13:36:11.332272,0 days 00:00:00.108455,entropy,4,7,7,26,COMPLETE
3,0.8866855524079321,2026-06-08 13:36:11.332294,2026-06-08 13:36:11.435185,0 days 00:00:00.102891,log_loss,5,6,5,22,COMPLETE
4,0.8215297450424929,2026-06-08 13:36:11.435207,2026-06-08 13:36:11.610142,0 days 00:00:00.174935,gini,3,10,20,63,COMPLETE
5,0.8876298394711992,2026-06-08 13:36:11.610163,2026-06-08 13:36:11.819188,0 days 00:00:00.209025,entropy,5,5,4,83,COMPLETE
6,0.9046270066100095,2026-06-08 13:36:11.819209,2026-06-08 13:36:11.916735,0 days 00:00:00.097526,entropy,10,6,11,13,COMPLETE
7,0.8923512747875354,2026-06-08 13:36:11.916756,2026-06-08 13:36:12.021889,0 days 00:00:00.105133,entropy,10,10,13,26,COMPLETE
8,0.8630783758262511,2026-06-08 13:36:12.021909,2026-06-08 13:36:12.131154,0 days 00:00:00.109245,log_loss,4,9,7,18,COMPLETE
9,0.8885741265344665,2026-06-08 13:36:12.131179,2026-06-08 13:36:12.289184,0 days 00:00:00.158005,log_loss,5,10,3,42,COMPLETE
10,0.9338999055712937,2026-06-08 13:36:12.289209,2026-06-08 13:36:12.454486,0 days 00:00:00.165277,gini,8,1,10,56,COMPLETE
11,0.931067044381492,2026-06-08 13:36:12.454507,2026-06-08 13:36:12.610388,0 days 00:00:00.155881,gini,8,1,11,56,COMPLETE
12,0.9329556185080264,2026-06-08 13:36:12.610410,2026-06-08 13:36:12.771006,0 days 00:00:00.160596,gini,8,1,8,41,COMPLETE
13,0.9461756373937676,2026-06-08 13:36:12.771028,2026-06-08 13:36:12.937706,0 days 00:00:00.166678,gini,9,3,2,70,COMPLETE
14,0.9490084985835695,2026-06-08 13:36:12.937725,2026-06-08 13:36:13.099324,0 days 00:00:00.161599,gini,9,3,2,72,COMPLETE
15,0.9480642115203022,2026-06-08 13:36:13.099345,2026-06-08 13:36:13.331489,0 days 00:00:00.232144,gini,10,3,2,99,COMPLETE
16,0.9225684608120869,2026-06-08 13:36:13.331513,2026-06-08 13:36:13.495293,0 days 00:00:00.163780,gini,9,4,5,40,COMPLETE
17,0.9102927289896129,2026-06-08 13:36:13.495339,2026-06-08 13:36:13.686068,0 days 00:00:00.190729,gini,9,2,13,72,COMPLETE
18,0.9575070821529744,2026-06-08 13:36:13.686089,2026-06-08 13:36:13.844510,0 days 00:00:00.158421,gini,7,2,5,47,COMPLETE
19,0.9537299338999056,2026-06-08 13:36:13.844532,2026-06-08 13:36:13.989524,0 days 00:00:00.144992,gini,7,2,6,35,COMPLETE
20,0.8932955618508026,2026-06-08 13:36:13.989557,2026-06-08 13:36:14.144934,0 days 00:00:00.155377,gini,6,8,9,48,COMPLETE
21,0.9546742209631728,2026-06-08 13:36:14.144958,2026-06-08 13:36:14.257810,0 days 00:00:00.112852,gini,7,2,6,33,COMPLETE
22,0.9348441926345609,2026-06-08 13:36:14.257833,2026-06-08 13:36:14.370625,0 days 00:00:00.112792,gini,6,2,4,32,COMPLETE
23,0.9291784702549575,2026-06-08 13:36:14.370650,2026-06-08 13:36:14.527675,0 days 00:00:00.157025,gini,7,4,6,49,COMPLETE
24,0.9338999055712937,2026-06-08 13:36:14.527705,2026-06-08 13:36:14.685997,0 days 00:00:00.158292,gini,6,1,4,50,COMPLETE
25,0.927289896128423,2026-06-08 13:36:14.686024,2026-06-08 13:36:14.800200,0 days 00:00:00.114176,gini,8,4,8,33,COMPLETE
26,0.9584513692162417,2026-06-08 13:36:14.800222,2026-06-08 13:36:14.964538,0 days 00:00:00.164316,gini,7,2,6,61,COMPLETE
27,0.9065155807365439,2026-06-08 13:36:14.964560,2026-06-08 13:36:15.127819,0 days 00:00:00.163259,gini,6,5,14,61,COMPLETE
28,0.9584513692162417,2026-06-08 13:36:15.127840,2026-06-08 13:36:15.284157,0 days 00:00:00.156317,log_loss,8,2,4,64,COMPLETE
29,0.967894239848914,2026-06-08 13:36:15.284181,2026-06-08 13:36:15.484083,0 days 00:00:00.199902,log_loss,8,1,3,83,COMPLETE
30,0.8989612842304061,2026-06-08 13:36:15.484106,2026-06-08 13:36:15.699995,0 days 00:00:00.215889,log_loss,9,1,16,91,COMPLETE
31,0.9546742209631728,2026-06-08 13:36:15.700016,2026-06-08 13:36:15.898492,0 days 00:00:00.198476,log_loss,8,2,3,81,COMPLETE
32,0.975448536355052,2026-06-08 13:36:15.898513,2026-06-08 13:36:16.065786,0 days 00:00:00.167273,log_loss,8,1,3,65,COMPLETE
33,0.9763928234183193,2026-06-08 13:36:16.065807,2026-06-08 13:36:16.269925,0 days 00:00:00.204118,log_loss,10,1,3,75,COMPLETE
34,0.975448536355052,2026-06-08 13:36:16.269944,2026-06-08 13:36:16.486244,0 days 00:00:00.216300,log_loss,10,1,3,76,COMPLETE
35,0.9754485363550519,2026-06-08 13:36:16.486267,2026-06-08 13:36:16.692301,0 days 00:00:00.206034,log_loss,10,1,3,78,COMPLETE
36,0.9745042492917847,2026-06-08 13:36:16.692326,2026-06-08 13:36:16.913095,0 days 00:00:00.220769,log_loss,10,1,2,78,COMPLETE
