number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.9843056977140906,2026-06-08 13:36:30.667514,2026-06-08 13:36:30.857318,0 days 00:00:00.189804,gini,10,1,4,44,COMPLETE
1,0.9691800295689754,2026-06-08 13:36:30.857348,2026-06-08 13:36:31.144515,0 days 00:00:00.287167,log_loss,7,3,17,88,COMPLETE
2,0.8618219037871034,2026-06-08 13:36:31.144552,2026-06-08 13:36:31.300527,0 days 00:00:00.155975,entropy,4,7,7,26,COMPLETE
3,0.9141362447401343,2026-06-08 13:36:31.300557,2026-06-08 13:36:31.452055,0 days 00:00:00.151498,log_loss,5,6,5,22,COMPLETE
4,0.8051859433640396,2026-06-08 13:36:31.452083,2026-06-08 13:36:31.660924,0 days 00:00:00.208841,gini,3,10,20,63,COMPLETE
5,0.9203912202888661,2026-06-08 13:36:31.660948,2026-06-08 13:36:31.931634,0 days 00:00:00.270686,entropy,5,5,4,83,COMPLETE
6,0.9777095416808826,2026-06-08 13:36:31.931662,2026-06-08 13:36:32.037909,0 days 00:00:00.106247,entropy,10,6,11,13,COMPLETE
7,0.9753212782895485,2026-06-08 13:36:32.037937,2026-06-08 13:36:32.196100,0 days 00:00:00.158163,entropy,10,10,13,26,COMPLETE
8,0.8595473672239281,2026-06-08 13:36:32.196129,2026-06-08 13:36:32.301429,0 days 00:00:00.105300,log_loss,4,9,7,18,COMPLETE
9,0.9119754350051177,2026-06-08 13:36:32.301457,2026-06-08 13:36:32.470465,0 days 00:00:00.169008,log_loss,5,10,3,42,COMPLETE
10,0.973615375867167,2026-06-08 13:36:32.470494,2026-06-08 13:36:32.670227,0 days 00:00:00.199733,gini,8,1,10,56,COMPLETE
11,0.9807801660411691,2026-06-08 13:36:32.670256,2026-06-08 13:36:32.840703,0 days 00:00:00.170447,gini,10,4,12,41,COMPLETE
12,0.9785056294779938,2026-06-08 13:36:32.840734,2026-06-08 13:36:33.025275,0 days 00:00:00.184541,gini,9,1,15,42,COMPLETE
13,0.9748663709769135,2026-06-08 13:36:33.025305,2026-06-08 13:36:33.256479,0 days 00:00:00.231174,gini,8,3,9,70,COMPLETE
14,0.9773683611964064,2026-06-08 13:36:33.256507,2026-06-08 13:36:33.452533,0 days 00:00:00.196026,gini,9,3,13,43,COMPLETE
15,0.9797566245877403,2026-06-08 13:36:33.452564,2026-06-08 13:36:33.607880,0 days 00:00:00.155316,gini,10,4,7,36,COMPLETE
16,0.9651995905834188,2026-06-08 13:36:33.607911,2026-06-08 13:36:33.916442,0 days 00:00:00.308531,gini,7,2,2,100,COMPLETE
17,0.9741840100079608,2026-06-08 13:36:33.916472,2026-06-08 13:36:34.112243,0 days 00:00:00.195771,gini,9,8,13,52,COMPLETE
18,0.9716820197884681,2026-06-08 13:36:34.112265,2026-06-08 13:36:34.338367,0 days 00:00:00.226102,gini,8,4,17,67,COMPLETE
19,0.9810076196974866,2026-06-08 13:36:34.338399,2026-06-08 13:36:34.495899,0 days 00:00:00.157500,gini,10,2,9,34,COMPLETE
20,0.9421130444671898,2026-06-08 13:36:34.495926,2026-06-08 13:36:34.652627,0 days 00:00:00.156701,gini,6,2,5,32,COMPLETE
21,0.9828272489480269,2026-06-08 13:36:34.652659,2026-06-08 13:36:34.848296,0 days 00:00:00.195637,gini,10,2,9,52,COMPLETE
22,0.9795291709314227,2026-06-08 13:36:34.848322,2026-06-08 13:36:35.041147,0 days 00:00:00.192825,gini,9,1,9,52,COMPLETE
23,0.9827135221198681,2026-06-08 13:36:35.041170,2026-06-08 13:36:35.245957,0 days 00:00:00.204787,gini,10,2,8,58,COMPLETE
24,0.9800978050722166,2026-06-08 13:36:35.245987,2026-06-08 13:36:35.501447,0 days 00:00:00.255460,gini,9,2,6,75,COMPLETE
25,0.9745251904924371,2026-06-08 13:36:35.501481,2026-06-08 13:36:35.699194,0 days 00:00:00.197713,gini,8,1,2,59,COMPLETE
26,0.9814625270101217,2026-06-08 13:36:35.699227,2026-06-08 13:36:35.895310,0 days 00:00:00.196083,gini,10,3,8,48,COMPLETE
27,0.9781644489935176,2026-06-08 13:36:35.895340,2026-06-08 13:36:36.147443,0 days 00:00:00.252103,gini,9,5,4,77,COMPLETE
28,0.9708859319913569,2026-06-08 13:36:36.147477,2026-06-08 13:36:36.361382,0 days 00:00:00.213905,log_loss,7,2,11,62,COMPLETE
29,0.9782781758216763,2026-06-08 13:36:36.361411,2026-06-08 13:36:36.555029,0 days 00:00:00.193618,entropy,8,1,6,47,COMPLETE
30,0.9508700102354145,2026-06-08 13:36:36.555062,2026-06-08 13:36:36.852785,0 days 00:00:00.297723,log_loss,6,3,15,96,COMPLETE
31,0.9814625270101217,2026-06-08 13:36:36.852819,2026-06-08 13:36:37.057727,0 days 00:00:00.204908,gini,10,3,8,49,COMPLETE
32,0.9820311611509155,2026-06-08 13:36:37.057762,2026-06-08 13:36:37.252644,0 days 00:00:00.194882,gini,10,2,8,54,COMPLETE
33,0.9787330831343114,2026-06-08 13:36:37.252674,2026-06-08 13:36:37.448602,0 days 00:00:00.195928,gini,9,2,6,56,COMPLETE
34,0.9818037074945979,2026-06-08 13:36:37.448624,2026-06-08 13:36:37.686818,0 days 00:00:00.238194,gini,10,1,10,66,COMPLETE
35,0.9810076196974866,2026-06-08 13:36:37.686848,2026-06-08 13:36:37.933448,0 days 00:00:00.246600,gini,10,4,4,71,COMPLETE
36,0.9773683611964064,2026-06-08 13:36:37.933481,2026-06-08 13:36:38.145875,0 days 00:00:00.212394,entropy,9,7,8,61,COMPLETE
37,0.8141703627885818,2026-06-08 13:36:38.145909,2026-06-08 13:36:38.307372,0 days 00:00:00.161463,gini,3,5,5,28,COMPLETE
38,0.9833958830888205,2026-06-08 13:36:38.307405,2026-06-08 13:36:38.590849,0 days 00:00:00.283444,entropy,10,2,10,85,COMPLETE
39,0.9836233367451381,2026-06-08 13:36:38.590877,2026-06-08 13:36:38.886147,0 days 00:00:00.295270,entropy,10,1,11,87,COMPLETE
40,0.9799840782440578,2026-06-08 13:36:38.886183,2026-06-08 13:36:39.194675,0 days 00:00:00.308492,entropy,9,1,20,90,COMPLETE
41,0.9835096099169794,2026-06-08 13:36:39.194712,2026-06-08 13:36:39.477853,0 days 00:00:00.283141,entropy,10,2,11,83,COMPLETE
42,0.9835096099169794,2026-06-08 13:36:39.477880,2026-06-08 13:36:39.763132,0 days 00:00:00.285252,entropy,10,1,11,85,COMPLETE
43,0.9833958830888206,2026-06-08 13:36:39.763167,2026-06-08 13:36:40.054145,0 days 00:00:00.290978,entropy,10,1,11,84,COMPLETE
44,0.9811213465256454,2026-06-08 13:36:40.054176,2026-06-08 13:36:40.312526,0 days 00:00:00.258350,entropy,9,1,12,80,COMPLETE
45,0.9837370635732969,2026-06-08 13:36:40.312557,2026-06-08 13:36:40.617219,0 days 00:00:00.304662,entropy,10,1,14,90,COMPLETE
46,0.9815762538382805,2026-06-08 13:36:40.617255,2026-06-08 13:36:40.904396,0 days 00:00:00.287141,entropy,9,1,14,90,COMPLETE
47,0.9823723416353918,2026-06-08 13:36:40.904426,2026-06-08 13:36:41.203423,0 days 00:00:00.298997,entropy,10,1,16,94,COMPLETE
48,0.9755487319458661,2026-06-08 13:36:41.203454,2026-06-08 13:36:41.496084,0 days 00:00:00.292630,entropy,8,3,19,87,COMPLETE
49,0.9840782440577732,2026-06-08 13:36:41.496116,2026-06-08 13:36:41.801852,0 days 00:00:00.305736,entropy,10,1,12,100,COMPLETE
50,0.9778232685090412,2026-06-08 13:36:41.801887,2026-06-08 13:36:42.107477,0 days 00:00:00.305590,entropy,9,7,14,95,COMPLETE
51,0.9837370635732969,2026-06-08 13:36:42.107511,2026-06-08 13:36:42.410342,0 days 00:00:00.302831,entropy,10,1,12,98,COMPLETE
52,0.9837370635732969,2026-06-08 13:36:42.410374,2026-06-08 13:36:42.730389,0 days 00:00:00.320015,entropy,10,1,12,98,COMPLETE
53,0.9832821562606618,2026-06-08 13:36:42.730423,2026-06-08 13:36:43.028071,0 days 00:00:00.297648,entropy,10,1,12,99,COMPLETE
54,0.9836233367451381,2026-06-08 13:36:43.028103,2026-06-08 13:36:43.335348,0 days 00:00:00.307245,entropy,10,1,14,98,COMPLETE
55,0.8645513476629137,2026-06-08 13:36:43.335383,2026-06-08 13:36:43.590851,0 days 00:00:00.255468,entropy,4,1,13,92,COMPLETE
56,0.9762310929148187,2026-06-08 13:36:43.590882,2026-06-08 13:36:43.917554,0 days 00:00:00.326672,entropy,9,9,16,100,COMPLETE
57,0.9200500398043898,2026-06-08 13:36:43.917588,2026-06-08 13:36:44.192314,0 days 00:00:00.274726,entropy,5,2,12,92,COMPLETE
58,0.9828272489480269,2026-06-08 13:36:44.192342,2026-06-08 13:36:44.499975,0 days 00:00:00.307633,log_loss,10,2,15,96,COMPLETE
59,0.9840782440577732,2026-06-08 13:36:44.499999,2026-06-08 13:36:44.807353,0 days 00:00:00.307354,entropy,10,1,13,90,COMPLETE
