number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.8843395789960676,2026-06-08 13:36:44.893725,2026-06-08 13:36:45.051384,0 days 00:00:00.157659,gini,10,1,4,44,COMPLETE
1,0.8662965533194541,2026-06-08 13:36:45.051413,2026-06-08 13:36:45.306434,0 days 00:00:00.255021,log_loss,7,3,17,88,COMPLETE
2,0.8188757807078417,2026-06-08 13:36:45.306460,2026-06-08 13:36:45.413408,0 days 00:00:00.106948,entropy,4,7,7,26,COMPLETE
3,0.8269720101781171,2026-06-08 13:36:45.413439,2026-06-08 13:36:45.516110,0 days 00:00:00.102671,log_loss,5,6,5,22,COMPLETE
4,0.8024520009252835,2026-06-08 13:36:45.516137,2026-06-08 13:36:45.688591,0 days 00:00:00.172454,gini,3,10,20,63,COMPLETE
5,0.8297478602822115,2026-06-08 13:36:45.688614,2026-06-08 13:36:45.905219,0 days 00:00:00.216605,entropy,5,5,4,83,COMPLETE
6,0.871616932685635,2026-06-08 13:36:45.905248,2026-06-08 13:36:46.008590,0 days 00:00:00.103342,entropy,10,6,11,13,COMPLETE
7,0.8697663659495719,2026-06-08 13:36:46.008622,2026-06-08 13:36:46.167969,0 days 00:00:00.159347,entropy,10,10,13,26,COMPLETE
8,0.8165625722877632,2026-06-08 13:36:46.167997,2026-06-08 13:36:46.278954,0 days 00:00:00.110957,log_loss,4,9,7,18,COMPLETE
9,0.8285912560721721,2026-06-08 13:36:46.278980,2026-06-08 13:36:46.440248,0 days 00:00:00.161268,log_loss,5,10,3,42,COMPLETE
10,0.8753180661577608,2026-06-08 13:36:46.440277,2026-06-08 13:36:46.618251,0 days 00:00:00.177974,gini,8,1,10,56,COMPLETE
11,0.8704603284755956,2026-06-08 13:36:46.618278,2026-06-08 13:36:46.783407,0 days 00:00:00.165129,gini,8,1,11,56,COMPLETE
12,0.8704603284755956,2026-06-08 13:36:46.783438,2026-06-08 13:36:46.944788,0 days 00:00:00.161350,gini,8,1,8,41,COMPLETE
13,0.8841082581540597,2026-06-08 13:36:46.944815,2026-06-08 13:36:47.149188,0 days 00:00:00.204373,gini,9,3,2,70,COMPLETE
14,0.8845708998380754,2026-06-08 13:36:47.149220,2026-06-08 13:36:47.352987,0 days 00:00:00.203767,gini,9,3,2,72,COMPLETE
15,0.8852648623640991,2026-06-08 13:36:47.353017,2026-06-08 13:36:47.634352,0 days 00:00:00.281335,gini,10,3,2,99,COMPLETE
16,0.876705991209808,2026-06-08 13:36:47.634380,2026-06-08 13:36:47.887936,0 days 00:00:00.253556,gini,9,3,14,100,COMPLETE
17,0.8829516539440204,2026-06-08 13:36:47.887963,2026-06-08 13:36:48.146005,0 days 00:00:00.258042,gini,9,4,2,100,COMPLETE
18,0.8683784408975249,2026-06-08 13:36:48.146036,2026-06-08 13:36:48.365764,0 days 00:00:00.219728,gini,7,4,6,78,COMPLETE
19,0.8787878787878789,2026-06-08 13:36:48.365802,2026-06-08 13:36:48.622735,0 days 00:00:00.256933,gini,9,2,9,89,COMPLETE
20,0.8535739070090216,2026-06-08 13:36:48.622768,2026-06-08 13:36:48.831050,0 days 00:00:00.208282,gini,6,8,14,71,COMPLETE
21,0.8854961832061069,2026-06-08 13:36:48.831069,2026-06-08 13:36:48.983547,0 days 00:00:00.152478,gini,10,2,4,47,COMPLETE
22,0.8854961832061069,2026-06-08 13:36:48.983576,2026-06-08 13:36:49.139499,0 days 00:00:00.155923,gini,10,2,2,49,COMPLETE
23,0.8836456164700439,2026-06-08 13:36:49.139530,2026-06-08 13:36:49.299119,0 days 00:00:00.159589,gini,10,2,5,49,COMPLETE
24,0.8822576914179967,2026-06-08 13:36:49.299151,2026-06-08 13:36:49.459598,0 days 00:00:00.160447,gini,10,2,4,33,COMPLETE
25,0.8753180661577608,2026-06-08 13:36:49.459631,2026-06-08 13:36:49.653900,0 days 00:00:00.194269,gini,8,4,2,62,COMPLETE
26,0.8787878787878788,2026-06-08 13:36:49.653929,2026-06-08 13:36:49.813658,0 days 00:00:00.159729,gini,10,5,6,33,COMPLETE
27,0.8776312745778395,2026-06-08 13:36:49.813691,2026-06-08 13:36:49.970285,0 days 00:00:00.156594,gini,9,2,4,49,COMPLETE
28,0.8605135322692575,2026-06-08 13:36:49.970311,2026-06-08 13:36:50.130420,0 days 00:00:00.160109,log_loss,7,4,3,34,COMPLETE
29,0.8859588248901226,2026-06-08 13:36:50.130451,2026-06-08 13:36:50.279898,0 days 00:00:00.149447,entropy,10,1,6,48,COMPLETE
30,0.8831829747860281,2026-06-08 13:36:50.279928,2026-06-08 13:36:50.443963,0 days 00:00:00.164035,entropy,10,1,8,48,COMPLETE
31,0.8880407124681934,2026-06-08 13:36:50.443985,2026-06-08 13:36:50.642311,0 days 00:00:00.198326,entropy,10,2,5,60,COMPLETE
32,0.8797131621559102,2026-06-08 13:36:50.642343,2026-06-08 13:36:50.796595,0 days 00:00:00.154252,entropy,9,2,5,39,COMPLETE
33,0.885264862364099,2026-06-08 13:36:50.796630,2026-06-08 13:36:51.012427,0 days 00:00:00.215797,entropy,10,1,6,63,COMPLETE
34,0.885264862364099,2026-06-08 13:36:51.012461,2026-06-08 13:36:51.200560,0 days 00:00:00.188099,entropy,10,2,4,53,COMPLETE
35,0.878556557945871,2026-06-08 13:36:51.200595,2026-06-08 13:36:51.361099,0 days 00:00:00.160504,entropy,9,3,7,45,COMPLETE
36,0.8709229701596114,2026-06-08 13:36:51.361131,2026-06-08 13:36:51.572690,0 days 00:00:00.211559,entropy,8,1,17,61,COMPLETE
37,0.8871154291001618,2026-06-08 13:36:51.572712,2026-06-08 13:36:51.741419,0 days 00:00:00.168707,entropy,10,2,5,55,COMPLETE
38,0.7948184131390238,2026-06-08 13:36:51.741452,2026-06-08 13:36:51.940913,0 days 00:00:00.199461,entropy,3,7,9,67,COMPLETE
39,0.8487161693268565,2026-06-08 13:36:51.940937,2026-06-08 13:36:52.111775,0 days 00:00:00.170838,entropy,6,5,5,55,COMPLETE
40,0.8769373120518158,2026-06-08 13:36:52.111807,2026-06-08 13:36:52.327894,0 days 00:00:00.216087,entropy,9,3,7,77,COMPLETE
41,0.8836456164700439,2026-06-08 13:36:52.327919,2026-06-08 13:36:52.498803,0 days 00:00:00.170884,entropy,10,2,3,52,COMPLETE
42,0.8859588248901226,2026-06-08 13:36:52.498826,2026-06-08 13:36:52.696744,0 days 00:00:00.197918,entropy,10,1,3,58,COMPLETE
43,0.8843395789960674,2026-06-08 13:36:52.696765,2026-06-08 13:36:52.897326,0 days 00:00:00.200561,entropy,10,1,6,59,COMPLETE
44,0.8845708998380754,2026-06-08 13:36:52.897360,2026-06-08 13:36:53.052164,0 days 00:00:00.154804,entropy,10,1,4,37,COMPLETE
45,0.8813324080499653,2026-06-08 13:36:53.052197,2026-06-08 13:36:53.218679,0 days 00:00:00.166482,entropy,9,1,5,44,COMPLETE
46,0.8824890122600046,2026-06-08 13:36:53.218706,2026-06-08 13:36:53.375918,0 days 00:00:00.157212,log_loss,10,2,3,28,COMPLETE
47,0.8815637288919732,2026-06-08 13:36:53.375950,2026-06-08 13:36:53.576793,0 days 00:00:00.200843,entropy,9,1,8,66,COMPLETE
48,0.8780939162618552,2026-06-08 13:36:53.576820,2026-06-08 13:36:53.763701,0 days 00:00:00.186881,entropy,8,2,5,57,COMPLETE
49,0.8820263705759889,2026-06-08 13:36:53.763731,2026-06-08 13:36:53.925836,0 days 00:00:00.162105,entropy,10,3,3,45,COMPLETE
50,0.8776312745778395,2026-06-08 13:36:53.925869,2026-06-08 13:36:54.143239,0 days 00:00:00.217370,log_loss,9,3,12,67,COMPLETE
51,0.8838769373120519,2026-06-08 13:36:54.143270,2026-06-08 13:36:54.300656,0 days 00:00:00.157386,entropy,10,2,3,51,COMPLETE
52,0.888503354152209,2026-06-08 13:36:54.300689,2026-06-08 13:36:54.490590,0 days 00:00:00.189901,entropy,10,1,2,56,COMPLETE
53,0.8843395789960674,2026-06-08 13:36:54.490620,2026-06-08 13:36:54.691349,0 days 00:00:00.200729,entropy,10,1,7,57,COMPLETE
54,0.8873467499421698,2026-06-08 13:36:54.691381,2026-06-08 13:36:54.897922,0 days 00:00:00.206541,entropy,10,1,4,59,COMPLETE
