number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.9543172471343949,2026-06-08 13:38:31.643768,2026-06-08 13:38:31.842827,0 days 00:00:00.199059,gini,10,1,4,44,COMPLETE
1,0.942954797883279,2026-06-08 13:38:31.842855,2026-06-08 13:38:32.120551,0 days 00:00:00.277696,log_loss,7,3,17,88,COMPLETE
2,0.8486375879474247,2026-06-08 13:38:32.120581,2026-06-08 13:38:32.279057,0 days 00:00:00.158476,entropy,4,7,7,26,COMPLETE
3,0.8886357838182009,2026-06-08 13:38:32.279092,2026-06-08 13:38:32.434669,0 days 00:00:00.155577,log_loss,5,6,5,22,COMPLETE
4,0.7329586510321201,2026-06-08 13:38:32.434705,2026-06-08 13:38:32.632378,0 days 00:00:00.197673,gini,3,10,20,63,COMPLETE
5,0.8961356295992507,2026-06-08 13:38:32.632407,2026-06-08 13:38:32.892614,0 days 00:00:00.260207,entropy,5,5,4,83,COMPLETE
6,0.9534091377595257,2026-06-08 13:38:32.892645,2026-06-08 13:38:33.034202,0 days 00:00:00.141557,entropy,10,6,11,13,COMPLETE
7,0.9484090339135997,2026-06-08 13:38:33.034240,2026-06-08 13:38:33.199672,0 days 00:00:00.165432,entropy,10,10,13,26,COMPLETE
8,0.8450020505695561,2026-06-08 13:38:33.199706,2026-06-08 13:38:33.351514,0 days 00:00:00.151808,log_loss,4,9,7,18,COMPLETE
9,0.8877262794980553,2026-06-08 13:38:33.351551,2026-06-08 13:38:33.553264,0 days 00:00:00.201713,log_loss,5,10,3,42,COMPLETE
10,0.9286367695795295,2026-06-08 13:38:33.553294,2026-06-08 13:38:33.753313,0 days 00:00:00.200019,gini,8,1,10,56,COMPLETE
11,0.948636409993636,2026-06-08 13:38:33.753335,2026-06-08 13:38:33.949924,0 days 00:00:00.196589,gini,10,4,12,41,COMPLETE
12,0.9311363565207337,2026-06-08 13:38:33.949961,2026-06-08 13:38:34.055424,0 days 00:00:00.105463,gini,9,1,15,11,COMPLETE
13,0.9506815547626065,2026-06-08 13:38:34.055456,2026-06-08 13:38:34.254165,0 days 00:00:00.198709,entropy,8,7,9,40,COMPLETE
14,0.9422729796310091,2026-06-08 13:38:34.254201,2026-06-08 13:38:34.492831,0 days 00:00:00.238630,gini,9,3,2,69,COMPLETE
