number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.9662168419218382,2026-06-08 13:38:55.899320,2026-06-08 13:38:56.089703,0 days 00:00:00.190383,gini,10,1,4,44,COMPLETE
1,0.9604732274767107,2026-06-08 13:38:56.089730,2026-06-08 13:38:56.375563,0 days 00:00:00.285833,log_loss,7,3,17,88,COMPLETE
2,0.9368241780757552,2026-06-08 13:38:56.375597,2026-06-08 13:38:56.528358,0 days 00:00:00.152761,entropy,4,7,7,26,COMPLETE
3,0.9408796017427434,2026-06-08 13:38:56.528387,2026-06-08 13:38:56.679165,0 days 00:00:00.150778,log_loss,5,6,5,22,COMPLETE
4,0.9364863687474249,2026-06-08 13:38:56.679194,2026-06-08 13:38:56.876835,0 days 00:00:00.197641,gini,3,10,20,63,COMPLETE
5,0.9518581053612488,2026-06-08 13:38:56.876865,2026-06-08 13:38:57.127260,0 days 00:00:00.250395,entropy,5,5,4,83,COMPLETE
6,0.9493256908145132,2026-06-08 13:38:57.127284,2026-06-08 13:38:57.245702,0 days 00:00:00.118418,entropy,10,6,11,13,COMPLETE
7,0.9567577527968335,2026-06-08 13:38:57.245733,2026-06-08 13:38:57.410083,0 days 00:00:00.164350,entropy,10,10,13,26,COMPLETE
8,0.9273646610189945,2026-06-08 13:38:57.410115,2026-06-08 13:38:57.544257,0 days 00:00:00.134142,log_loss,4,9,7,18,COMPLETE
9,0.949493525649288,2026-06-08 13:38:57.544290,2026-06-08 13:38:57.728448,0 days 00:00:00.184158,log_loss,5,10,3,42,COMPLETE
10,0.9646961436330687,2026-06-08 13:38:57.728477,2026-06-08 13:38:57.932574,0 days 00:00:00.204097,gini,8,1,10,56,COMPLETE
11,0.9640203538037057,2026-06-08 13:38:57.932602,2026-06-08 13:38:58.135131,0 days 00:00:00.202529,gini,8,1,11,56,COMPLETE
12,0.9623319062665128,2026-06-08 13:38:58.135155,2026-06-08 13:38:58.323308,0 days 00:00:00.188153,gini,8,1,8,41,COMPLETE
13,0.9707769683020677,2026-06-08 13:38:58.323336,2026-06-08 13:38:58.580919,0 days 00:00:00.257583,gini,9,3,2,70,COMPLETE
14,0.9699324021880665,2026-06-08 13:38:58.580949,2026-06-08 13:38:58.826304,0 days 00:00:00.245355,gini,9,3,2,72,COMPLETE
15,0.9697635403170769,2026-06-08 13:38:58.826336,2026-06-08 13:38:59.078557,0 days 00:00:00.252221,gini,9,3,3,74,COMPLETE
16,0.9652029004187398,2026-06-08 13:38:59.078589,2026-06-08 13:38:59.380439,0 days 00:00:00.301850,gini,7,3,2,100,COMPLETE
17,0.9665538809730072,2026-06-08 13:38:59.380468,2026-06-08 13:38:59.631362,0 days 00:00:00.250894,gini,9,4,15,72,COMPLETE
18,0.9677370266925,2026-06-08 13:38:59.631394,2026-06-08 13:38:59.882857,0 days 00:00:00.251463,gini,9,4,6,68,COMPLETE
19,0.9635139393634397,2026-06-08 13:38:59.882887,2026-06-08 13:39:00.141565,0 days 00:00:00.258678,gini,6,2,9,84,COMPLETE
20,0.9658789470071566,2026-06-08 13:39:00.141594,2026-06-08 13:39:00.443080,0 days 00:00:00.301486,gini,9,8,2,99,COMPLETE
21,0.9702700403436942,2026-06-08 13:39:00.443109,2026-06-08 13:39:00.683391,0 days 00:00:00.240282,gini,9,3,2,75,COMPLETE
22,0.9658785190754005,2026-06-08 13:39:00.683428,2026-06-08 13:39:00.936638,0 days 00:00:00.253210,gini,8,4,5,76,COMPLETE
23,0.9690880928331188,2026-06-08 13:39:00.936671,2026-06-08 13:39:01.179925,0 days 00:00:00.243254,gini,10,2,2,63,COMPLETE
24,0.965034295306804,2026-06-08 13:39:01.179958,2026-06-08 13:39:01.441909,0 days 00:00:00.261951,gini,7,5,5,90,COMPLETE
25,0.967229499629668,2026-06-08 13:39:01.441937,2026-06-08 13:39:01.641228,0 days 00:00:00.199291,gini,9,2,4,49,COMPLETE
26,0.9667232563621043,2026-06-08 13:39:01.641251,2026-06-08 13:39:01.888920,0 days 00:00:00.247669,gini,8,3,2,78,COMPLETE
27,0.9619935834200751,2026-06-08 13:39:01.888950,2026-06-08 13:39:02.088517,0 days 00:00:00.199567,gini,6,4,13,64,COMPLETE
28,0.9626699723538968,2026-06-08 13:39:02.088546,2026-06-08 13:39:02.340802,0 days 00:00:00.252256,log_loss,9,5,6,70,COMPLETE
29,0.9608108656323385,2026-06-08 13:39:02.340825,2026-06-08 13:39:02.540159,0 days 00:00:00.199334,entropy,10,2,4,49,COMPLETE
30,0.9619934122473727,2026-06-08 13:39:02.540188,2026-06-08 13:39:02.723756,0 days 00:00:00.183568,gini,10,3,3,35,COMPLETE
31,0.9702700403436942,2026-06-08 13:39:02.723786,2026-06-08 13:39:02.974900,0 days 00:00:00.251114,gini,9,3,3,75,COMPLETE
32,0.9665542233184121,2026-06-08 13:39:02.974933,2026-06-08 13:39:03.264222,0 days 00:00:00.289289,gini,9,4,3,91,COMPLETE
33,0.966723170775753,2026-06-08 13:39:03.264254,2026-06-08 13:39:03.539289,0 days 00:00:00.275035,gini,8,2,4,83,COMPLETE
34,0.9638520910371747,2026-06-08 13:39:03.539312,2026-06-08 13:39:03.770364,0 days 00:00:00.231052,gini,7,3,2,66,COMPLETE
35,0.9638518342781212,2026-06-08 13:39:03.770394,2026-06-08 13:39:04.031407,0 days 00:00:00.261013,log_loss,10,3,6,79,COMPLETE
36,0.9653729604986466,2026-06-08 13:39:04.031436,2026-06-08 13:39:04.245092,0 days 00:00:00.213656,gini,9,7,5,61,COMPLETE
37,0.9614869122207553,2026-06-08 13:39:04.245122,2026-06-08 13:39:04.512429,0 days 00:00:00.267307,entropy,8,5,17,86,COMPLETE
38,0.9657105986542743,2026-06-08 13:39:04.512457,2026-06-08 13:39:04.765427,0 days 00:00:00.252970,gini,10,6,7,71,COMPLETE
39,0.9603043656057212,2026-06-08 13:39:04.765458,2026-06-08 13:39:05.067777,0 days 00:00:00.302319,entropy,7,2,19,95,COMPLETE
40,0.9336152034224955,2026-06-08 13:39:05.067798,2026-06-08 13:39:05.262508,0 days 00:00:00.194710,log_loss,3,4,3,58,COMPLETE
41,0.9697635403170769,2026-06-08 13:39:05.262540,2026-06-08 13:39:05.505538,0 days 00:00:00.242998,gini,9,3,3,74,COMPLETE
42,0.9709458301730572,2026-06-08 13:39:05.505567,2026-06-08 13:39:05.778009,0 days 00:00:00.272442,gini,9,3,4,80,COMPLETE
43,0.9675681648215105,2026-06-08 13:39:05.778030,2026-06-08 13:39:06.052089,0 days 00:00:00.274059,gini,10,1,4,80,COMPLETE
44,0.9677369411061488,2026-06-08 13:39:06.052120,2026-06-08 13:39:06.308377,0 days 00:00:00.256257,gini,9,4,2,80,COMPLETE
45,0.966723170775753,2026-06-08 13:39:06.308410,2026-06-08 13:39:06.615147,0 days 00:00:00.306737,gini,8,3,5,88,COMPLETE
46,0.9643585910637921,2026-06-08 13:39:06.615187,2026-06-08 13:39:06.806005,0 days 00:00:00.190818,gini,9,2,8,52,COMPLETE
47,0.9623318206801615,2026-06-08 13:39:06.806027,2026-06-08 13:39:07.057902,0 days 00:00:00.251875,entropy,8,5,3,68,COMPLETE
48,0.967399302950521,2026-06-08 13:39:07.057934,2026-06-08 13:39:07.285826,0 days 00:00:00.227892,gini,10,1,4,59,COMPLETE
49,0.9611489317197224,2026-06-08 13:39:07.285860,2026-06-08 13:39:07.535617,0 days 00:00:00.249757,log_loss,8,3,2,75,COMPLETE
50,0.9667234275348067,2026-06-08 13:39:07.535644,2026-06-08 13:39:07.840922,0 days 00:00:00.305278,gini,9,4,12,94,COMPLETE
51,0.9692565267723521,2026-06-08 13:39:07.840951,2026-06-08 13:39:08.077123,0 days 00:00:00.236172,gini,9,3,3,73,COMPLETE
52,0.948310636688849,2026-06-08 13:39:08.077144,2026-06-08 13:39:08.330165,0 days 00:00:00.253021,gini,4,3,3,83,COMPLETE
53,0.9677364275880413,2026-06-08 13:39:08.330199,2026-06-08 13:39:08.589361,0 days 00:00:00.259162,gini,9,2,2,77,COMPLETE
54,0.9670608945177319,2026-06-08 13:39:08.589395,2026-06-08 13:39:08.841524,0 days 00:00:00.252129,gini,10,4,4,67,COMPLETE
55,0.9682432699600637,2026-06-08 13:39:08.841555,2026-06-08 13:39:09.084106,0 days 00:00:00.242551,gini,9,2,6,70,COMPLETE
56,0.9630067546460124,2026-06-08 13:39:09.084134,2026-06-08 13:39:09.339196,0 days 00:00:00.255062,gini,8,9,5,81,COMPLETE
57,0.9687502835047884,2026-06-08 13:39:09.339226,2026-06-08 13:39:09.551928,0 days 00:00:00.212702,gini,9,3,2,64,COMPLETE
58,0.9663852758610715,2026-06-08 13:39:09.551956,2026-06-08 13:39:09.850798,0 days 00:00:00.298842,gini,10,4,3,86,COMPLETE
59,0.9673985326733598,2026-06-08 13:39:09.850831,2026-06-08 13:39:10.099646,0 days 00:00:00.248815,gini,8,1,10,74,COMPLETE
