number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.8462518553176525,2026-06-08 13:39:44.358861,2026-06-08 13:39:44.540476,0 days 00:00:00.181615,gini,10,1,4,44,COMPLETE
1,0.8412526669898358,2026-06-08 13:39:44.540495,2026-06-08 13:39:44.796178,0 days 00:00:00.255683,log_loss,7,3,17,88,COMPLETE
2,0.813250539021562,2026-06-08 13:39:44.796208,2026-06-08 13:39:44.949312,0 days 00:00:00.153104,entropy,4,7,7,26,COMPLETE
3,0.8252522275996285,2026-06-08 13:39:44.949347,2026-06-08 13:39:45.098772,0 days 00:00:00.149425,log_loss,5,6,5,22,COMPLETE
4,0.8099987890525856,2026-06-08 13:39:45.098803,2026-06-08 13:39:45.303015,0 days 00:00:00.204212,gini,3,10,20,63,COMPLETE
5,0.8315015410524295,2026-06-08 13:39:45.303046,2026-06-08 13:39:45.550188,0 days 00:00:00.247142,entropy,5,5,4,83,COMPLETE
6,0.8172517267247846,2026-06-08 13:39:45.550210,2026-06-08 13:39:45.667491,0 days 00:00:00.117281,entropy,10,6,11,13,COMPLETE
7,0.8407527294117383,2026-06-08 13:39:45.667522,2026-06-08 13:39:45.827738,0 days 00:00:00.160216,entropy,10,10,13,26,COMPLETE
8,0.806251975287675,2026-06-08 13:39:45.827782,2026-06-08 13:39:45.933435,0 days 00:00:00.105653,log_loss,4,9,7,18,COMPLETE
9,0.8227506651775388,2026-06-08 13:39:45.933469,2026-06-08 13:39:46.090241,0 days 00:00:00.156772,log_loss,5,10,3,42,COMPLETE
10,0.8470014805050589,2026-06-08 13:39:46.090270,2026-06-08 13:39:46.295019,0 days 00:00:00.204749,gini,8,1,10,56,COMPLETE
11,0.8427513550051681,2026-06-08 13:39:46.295043,2026-06-08 13:39:46.504684,0 days 00:00:00.209641,gini,8,1,11,56,COMPLETE
12,0.8392504797863634,2026-06-08 13:39:46.504713,2026-06-08 13:39:46.683748,0 days 00:00:00.179035,gini,8,1,8,41,COMPLETE
13,0.8455014803176056,2026-06-08 13:39:46.683781,2026-06-08 13:39:46.909925,0 days 00:00:00.226144,gini,9,3,2,70,COMPLETE
14,0.8405004174581876,2026-06-08 13:39:46.909951,2026-06-08 13:39:47.096255,0 days 00:00:00.186304,gini,9,3,14,43,COMPLETE
15,0.8450006054737074,2026-06-08 13:39:47.096292,2026-06-08 13:39:47.328687,0 days 00:00:00.232395,gini,7,2,9,72,COMPLETE
16,0.8445016051614104,2026-06-08 13:39:47.328710,2026-06-08 13:39:47.621850,0 days 00:00:00.293140,gini,9,4,14,100,COMPLETE
17,0.8414993553485823,2026-06-08 13:39:47.621875,2026-06-08 13:39:47.836042,0 days 00:00:00.214167,gini,8,1,5,51,COMPLETE
