dataset,trees,budget,selector,status,elapsed_seconds,timeout_seconds,run_dir,message
ann-thyroid,5,20000,modal,timeout,600.0835268000083,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ann-thyroid\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
ann-thyroid,10,20000,modal,timeout,600.0407817000087,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ann-thyroid\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
appendicitis,5,20000,modal,completed,2.4209756000054767,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_5\B_20000\selector_modal,
appendicitis,10,20000,modal,completed,1.949170799998683,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_10\B_20000\selector_modal,
banknote,5,20000,modal,completed,2.500632900002529,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_5\B_20000\selector_modal,
banknote,10,20000,modal,completed,9.413826899995911,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_10\B_20000\selector_modal,
biodegradation,5,20000,modal,timeout,600.3726001999894,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\biodegradation\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
biodegradation,10,20000,modal,timeout,600.373072900009,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\biodegradation\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
breast-cancer,5,20000,modal,completed,5.065711500006728,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_5\B_20000\selector_modal,
breast-cancer,10,20000,modal,completed,2.0258328999916557,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_10\B_20000\selector_modal,
breast-cancer-wisconsin,5,20000,modal,timeout,600.0327890999906,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer-wisconsin\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
breast-cancer-wisconsin,10,20000,modal,timeout,600.022655000008,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer-wisconsin\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
bupa,5,20000,modal,completed,15.256361200008541,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_5\B_20000\selector_modal,
bupa,10,20000,modal,completed,254.40358739999647,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_10\B_20000\selector_modal,
cloud,5,20000,modal,completed,261.23249229999783,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\cloud\trees_5\B_20000\selector_modal,
cloud,10,20000,modal,timeout,600.1123786000098,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\cloud\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
diabetes,5,20000,modal,completed,407.61334960001113,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\diabetes\trees_5\B_20000\selector_modal,
diabetes,10,20000,modal,timeout,600.1172640000004,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\diabetes\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
ecoli,5,20000,modal,completed,4.99380409999867,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_5\B_20000\selector_modal,
ecoli,10,20000,modal,completed,162.84431260000565,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_10\B_20000\selector_modal,
factors,5,20000,modal,timeout,600.0119799999957,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\factors\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
factors,10,20000,modal,timeout,600.0200932000007,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\factors\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
fourier,5,20000,modal,timeout,600.0120991000003,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\fourier\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
fourier,10,20000,modal,timeout,600.0138488000084,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\fourier\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
glass,5,20000,modal,timeout,600.0236600999924,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\glass\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
glass,10,20000,modal,timeout,600.023291599995,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\glass\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
glass2,5,20000,modal,completed,1.9427787000022363,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\glass2\trees_5\B_20000\selector_modal,
glass2,10,20000,modal,completed,2.777013500002795,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\glass2\trees_10\B_20000\selector_modal,
haberman,5,20000,modal,completed,1.8320467000012286,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\haberman\trees_5\B_20000\selector_modal,
haberman,10,20000,modal,completed,1.810321599987219,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\haberman\trees_10\B_20000\selector_modal,
heart-c,5,20000,modal,completed,2.3673918999993475,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-c\trees_5\B_20000\selector_modal,
heart-c,10,20000,modal,completed,81.48312490001263,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-c\trees_10\B_20000\selector_modal,
heart-h,5,20000,modal,completed,1.8871497999934945,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_5\B_20000\selector_modal,
