budget,dataset,elapsed_seconds,message,run_dir,selector,status,timeout_seconds,trees
20000,ann-thyroid,600.0407817000087,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ann-thyroid\trees_10\B_20000\selector_modal,modal,timeout,600,10
20000,ann-thyroid,600.0835268000083,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ann-thyroid\trees_5\B_20000\selector_modal,modal,timeout,600,5
20000,appendicitis,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_10\B_20000\selector_modal,modal,skipped_existing,nan,10
20000,appendicitis,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_5\B_20000\selector_modal,modal,skipped_existing,nan,5
20000,banknote,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_10\B_20000\selector_modal,modal,skipped_existing,nan,10
20000,banknote,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_5\B_20000\selector_modal,modal,skipped_existing,nan,5
20000,biodegradation,600.373072900009,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\biodegradation\trees_10\B_20000\selector_modal,modal,timeout,600,10
20000,biodegradation,600.3726001999894,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\biodegradation\trees_5\B_20000\selector_modal,modal,timeout,600,5
20000,breast-cancer,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_10\B_20000\selector_modal,modal,skipped_existing,nan,10
20000,breast-cancer,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_5\B_20000\selector_modal,modal,skipped_existing,nan,5
20000,breast-cancer-wisconsin,600.022655000008,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer-wisconsin\trees_10\B_20000\selector_modal,modal,timeout,600,10
20000,breast-cancer-wisconsin,600.0327890999906,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer-wisconsin\trees_5\B_20000\selector_modal,modal,timeout,600,5
20000,bupa,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_10\B_20000\selector_modal,modal,skipped_existing,nan,10
20000,bupa,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_5\B_20000\selector_modal,modal,skipped_existing,nan,5
20000,cloud,600.1123786000098,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\cloud\trees_10\B_20000\selector_modal,modal,timeout,600,10
20000,cloud,261.23249229999783,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\cloud\trees_5\B_20000\selector_modal,modal,completed,600,5
20000,diabetes,600.1172640000004,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\diabetes\trees_10\B_20000\selector_modal,modal,timeout,600,10
20000,diabetes,407.61334960001113,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\diabetes\trees_5\B_20000\selector_modal,modal,completed,600,5
20000,ecoli,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_10\B_20000\selector_modal,modal,skipped_existing,nan,10
20000,ecoli,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_5\B_20000\selector_modal,modal,skipped_existing,nan,5
20000,factors,600.0200932000007,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\factors\trees_10\B_20000\selector_modal,modal,timeout,600,10
20000,factors,600.0119799999957,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\factors\trees_5\B_20000\selector_modal,modal,timeout,600,5
20000,fourier,600.0138488000084,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\fourier\trees_10\B_20000\selector_modal,modal,timeout,600,10
20000,fourier,600.0120991000003,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\fourier\trees_5\B_20000\selector_modal,modal,timeout,600,5
20000,glass,600.023291599995,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\glass\trees_10\B_20000\selector_modal,modal,timeout,600,10
20000,glass,600.0236600999924,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\glass\trees_5\B_20000\selector_modal,modal,timeout,600,5
20000,glass2,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\glass2\trees_10\B_20000\selector_modal,modal,skipped_existing,nan,10
20000,glass2,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\glass2\trees_5\B_20000\selector_modal,modal,skipped_existing,nan,5
20000,haberman,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\haberman\trees_10\B_20000\selector_modal,modal,skipped_existing,nan,10
20000,haberman,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\haberman\trees_5\B_20000\selector_modal,modal,skipped_existing,nan,5
20000,heart-c,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-c\trees_10\B_20000\selector_modal,modal,skipped_existing,nan,10
20000,heart-c,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-c\trees_5\B_20000\selector_modal,modal,skipped_existing,nan,5
20000,heart-h,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_10\B_20000\selector_modal,modal,skipped_existing,nan,10
20000,heart-h,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_5\B_20000\selector_modal,modal,skipped_existing,nan,5
20000,heart-sa,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-sa\trees_10\B_20000\selector_modal,modal,skipped_existing,nan,10
20000,heart-sa,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-sa\trees_5\B_20000\selector_modal,modal,skipped_existing,nan,5
20000,ionosphere,600.0099853000138,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ionosphere\trees_10\B_20000\selector_modal,modal,timeout,600,10
20000,ionosphere,600.021880500004,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ionosphere\trees_5\B_20000\selector_modal,modal,timeout,600,5
