bit,information_gain,shapley,p_value_strength
x0_b0,0.0,-5239564752.5625,137438953472.0
x0_b1,0.0,-6761838233.890625,137438953472.0
x0_b2,0.0,-2893253144.65625,137438953472.0
x0_b3,0.0,-4648278797.375,137438953472.0
x0_b4,0.0,-1914070768.5,137438953472.0
x1_b0,0.0,-4248596563.96875,137438953472.0
x1_b1,0.0,-3769816754.765625,137438953472.0
x1_b2,0.0,-4296788908.6875,137438953472.0
x1_b3,0.0,-1135191924.203125,137438953472.0
x1_b4,0.0,-5142943540.71875,137438953472.0
x1_b5,0.0,-3879692019.859375,137438953472.0
x1_b6,0.0,-2209510507.15625,137438953472.0
x2_b0,0.0,-3824369659.15625,137438953472.0
x2_b1,0.0,-1366092124.953125,137438953472.0
x2_b2,0.0,-6598534255.359375,137438953472.0
x2_b3,0.0,-2541911035.25,137438953472.0
x2_b4,0.0,-3105988937.609375,137438953472.0
x2_b5,0.0,-5881236090.71875,137438953472.0
x2_b6,0.0,-2816941969.453125,137438953472.0
x3_b0,0.0,-3593748597.265625,137438953472.0
x3_b1,0.0,-4279966407.09375,137438953472.0
x3_b2,0.0,-4042372663.828125,137438953472.0
x3_b3,0.0,-7232762836.09375,137438953472.0
x3_b4,0.0,-5400377744.078125,137438953472.0
x3_b5,0.0,-5191733577.03125,137438953472.0
x4_b0,0.0,-4633896457.890625,137438953472.0
x4_b1,0.0,-5347789803.140625,137438953472.0
x4_b2,0.0,-3878854281.921875,137438953472.0
x4_b3,0.0,-2903072823.015625,137438953472.0
x4_b4,0.0,-1377701695.59375,137438953472.0
x4_b5,0.0,-2177189493.953125,137438953472.0
x4_b6,0.0,-2447132111.0,137438953472.0
x5_b0,0.0,-4898332075.890625,137438953472.0
x5_b1,0.0,-2994018348.5,137438953472.0
x5_b2,0.0,-2253106807.25,137438953472.0
x5_b3,0.0,-2081452746.40625,137438953472.0
x5_b4,0.0,-430825012.203125,137438953472.0
