bit,information_gain,shapley,p_value_strength
x0_b0,0.0,-93888010813.15625,8796093022208.0
x0_b1,0.0,-245614687993.48438,8796093022208.0
x0_b2,0.0,-122635847877.96875,8796093022208.0
x0_b3,0.0,-170164229232.71875,8796093022208.0
x0_b4,0.0,-182450094534.03125,8796093022208.0
x0_b5,0.0,-155850651729.46875,8796093022208.0
x0_b6,0.0,-368163422872.78125,8796093022208.0
x1_b0,0.0,-269445529170.75,8796093022208.0
x2_b0,0.0,-101287833897.07812,8796093022208.0
x2_b1,0.0,-160363907349.9375,8796093022208.0
x2_b2,0.0,-196733212115.9375,8796093022208.0
x2_b3,0.0,-302188796121.5469,8796093022208.0
x2_b4,0.0,-81419646824.125,8796093022208.0
x2_b5,0.0,-211521549239.5,8796093022208.0
x2_b6,0.0,-130990620968.57812,8796093022208.0
x3_b0,0.0,-162104495191.1875,8796093022208.0
x3_b1,0.0,-140721775232.76562,8796093022208.0
x3_b2,0.0,-102671096198.96875,8796093022208.0
x3_b3,0.0,-247336015976.42188,8796093022208.0
x3_b4,0.0,-299927676097.875,8796093022208.0
x3_b5,0.0,-337929378652.75,8796093022208.0
x3_b6,0.0,-100280329252.07812,8796093022208.0
x4_b0,0.0,-76332757388.48438,8796093022208.0
x4_b1,0.0,-183597585311.67188,8796093022208.0
x4_b2,0.0,-297390153380.21875,8796093022208.0
x4_b3,0.0,-514562384745.4844,8796093022208.0
x4_b4,0.0,-172422829222.85938,8796093022208.0
x4_b5,0.0,-139838360149.15625,8796093022208.0
x4_b6,0.0,-176267320777.70312,8796093022208.0
x5_b0,0.0,-265974106644.98438,8796093022208.0
x5_b1,0.0,-177722318971.5,8796093022208.0
x5_b2,0.0,-120863721727.6875,8796093022208.0
x5_b3,0.0,-288342048231.3281,8796093022208.0
x5_b4,0.0,-113860048765.32812,8796093022208.0
x5_b5,0.0,-154327606670.17188,8796093022208.0
x5_b6,0.0,-295984332214.03125,8796093022208.0
x6_b0,0.0,-417256681766.9219,8796093022208.0
x6_b1,0.0,-99109795374.04688,8796093022208.0
x6_b2,0.0,-212399750583.04688,8796093022208.0
x6_b3,0.0,-244237940485.79688,8796093022208.0
x6_b4,0.0,-167571237054.78125,8796093022208.0
x6_b5,0.0,-305015131554.78125,8796093022208.0
x6_b6,0.0,-189328103843.90625,8796093022208.0
