bit,information_gain,shapley,p_value_strength
x0_b0,0.0,-142363407242891.78,4503599627370496.0
x0_b1,0.0,-82586090347430.36,4503599627370496.0
x0_b2,0.0,-83793250546401.47,4503599627370496.0
x0_b3,0.0,-80448187401229.17,4503599627370496.0
x1_b0,0.0,-93317927582696.95,4503599627370496.0
x1_b1,0.0,-58606171405129.0,4503599627370496.0
x1_b2,0.0,-72762654013993.17,4503599627370496.0
x1_b3,0.0,-77583638916999.97,4503599627370496.0
x1_b4,0.0,-68930003961148.42,4503599627370496.0
x1_b5,0.0,-163598865369846.0,4503599627370496.0
x1_b6,0.0,-127502238168854.1,4503599627370496.0
x2_b0,0.0,-125436801478137.58,4503599627370496.0
x2_b1,0.0,-34081450349355.61,4503599627370496.0
x2_b2,0.0,-133705476536262.33,4503599627370496.0
x2_b3,0.0,-97040685885117.7,4503599627370496.0
x2_b4,0.0,-101630260975591.38,4503599627370496.0
x2_b5,0.0,-86281155863589.55,4503599627370496.0
x3_b0,0.0,-120173848943063.03,4503599627370496.0
x3_b1,0.0,-131276750537971.17,4503599627370496.0
x3_b2,0.0,-54031174496044.59,4503599627370496.0
x3_b3,0.0,-3665444982321.375,4503599627370496.0
x3_b4,0.0,-135703344278324.39,4503599627370496.0
x3_b5,0.0,-98854722933837.3,4503599627370496.0
x4_b0,0.0,-104631806079148.77,4503599627370496.0
x4_b1,0.0,-82447302566661.39,4503599627370496.0
x4_b2,0.0,-93033435849018.97,4503599627370496.0
x4_b3,0.0,-112610068523640.72,4503599627370496.0
x4_b4,0.0,-47456980791763.66,4503599627370496.0
x4_b5,0.0,-81201546089362.3,4503599627370496.0
x4_b6,0.0,-73516983664186.62,4503599627370496.0
x5_b0,0.0,-63843821275466.45,4503599627370496.0
x5_b1,0.0,-54904344292931.84,4503599627370496.0
x5_b2,0.0,-82136525024071.0,4503599627370496.0
x5_b3,0.0,-99746792575725.27,4503599627370496.0
x5_b4,0.0,-127478846921738.61,4503599627370496.0
x5_b5,0.0,-109264158048749.75,4503599627370496.0
x5_b6,0.0,-72950324107196.27,4503599627370496.0
x5_b7,0.0,-89457409270526.25,4503599627370496.0
x6_b0,0.0,-91577607873447.33,4503599627370496.0
x6_b1,0.0,-13044775612843.375,4503599627370496.0
x6_b2,0.0,-47551368214732.53,4503599627370496.0
x6_b3,0.0,-125975305320738.64,4503599627370496.0
x6_b4,0.0,-22750595213264.562,4503599627370496.0
x6_b5,0.0,-87241903525427.5,4503599627370496.0
x6_b6,0.0,-109789521380046.34,4503599627370496.0
x6_b7,0.0,-94675453568935.98,4503599627370496.0
x7_b0,0.0,-171414211205082.8,4503599627370496.0
x7_b1,0.0,-27332536521745.688,4503599627370496.0
x7_b2,0.0,-104074446360769.66,4503599627370496.0
x7_b3,0.0,-26992966497328.36,4503599627370496.0
x7_b4,0.0,-25384337062377.03,4503599627370496.0
x7_b5,0.0,-87740701717330.92,4503599627370496.0
