bit,information_gain,shapley,p_value_strength
x0_b0,0.0,-6853774.578125,268435456.0
x0_b1,0.0,-10766111.59375,268435456.0
x0_b2,0.0,-8011047.484375,268435456.0
x0_b3,0.0,-10200318.984375,268435456.0
x0_b4,0.0,-11260719.46875,268435456.0
x1_b0,0.0,-8794110.515625,268435456.0
x1_b1,0.0,-10362091.234375,268435456.0
x1_b2,0.0,-13275017.890625,268435456.0
x1_b3,0.0,-6790357.265625,268435456.0
x1_b4,0.0,-5645562.234375,268435456.0
x1_b5,0.0,-11452702.96875,268435456.0
x2_b0,0.0,-9641112.0625,268435456.0
x2_b1,0.0,-6439987.25,268435456.0
x2_b2,0.0,-7142581.765625,268435456.0
x2_b3,0.0,-11292681.15625,268435456.0
x2_b4,0.0,-8299337.28125,268435456.0
x3_b0,0.0,-14929726.09375,268435456.0
x3_b1,0.0,-10160666.4375,268435456.0
x3_b2,0.0,-8234995.59375,268435456.0
x3_b3,0.0,-17360676.65625,268435456.0
x3_b4,0.0,-12781572.15625,268435456.0
x3_b5,0.0,-18161827.765625,268435456.0
x4_b0,0.0,-4067160.84375,268435456.0
x4_b1,0.0,-10727477.78125,268435456.0
x4_b2,0.0,-8236598.9375,268435456.0
x4_b3,0.0,-10732956.84375,268435456.0
x4_b4,0.0,-4009320.921875,268435456.0
x4_b5,0.0,-2804961.234375,268435456.0
