bit,information_gain,shapley,p_value_strength
x0_b0,0.0,-1.874048073564004e+17,7.378697629483821e+19
x3_b0,0.0,-1.0952622327489911e+18,7.378697629483821e+19
x4_b0,0.0,-6.642761226124846e+17,7.378697629483821e+19
x4_b1,0.0,-8.353438721559936e+17,7.378697629483821e+19
x5_b0,0.0,-1.311069453387566e+18,7.378697629483821e+19
x6_b0,0.0,-8.124924332432717e+17,7.378697629483821e+19
x7_b0,0.0,-2.549445149226866e+17,7.378697629483821e+19
x8_b0,0.0,-2.131767718604016e+18,7.378697629483821e+19
x9_b0,0.0,-1.831340495648738e+18,7.378697629483821e+19
x9_b1,0.0,-8.664665006847457e+17,7.378697629483821e+19
x11_b0,0.0,-9.056999374242618e+17,7.378697629483821e+19
x11_b1,0.0,-1.817608867541252e+18,7.378697629483821e+19
x12_b0,0.0,-1.409188433343077e+18,7.378697629483821e+19
x12_b1,0.0,-8.683901819301334e+17,7.378697629483821e+19
x13_b0,0.0,-2.2903512974915753e+18,7.378697629483821e+19
x13_b1,0.0,-1.1655750175553713e+18,7.378697629483821e+19
x14_b0,0.0,-3.3600117543743716e+16,7.378697629483821e+19
x14_b1,0.0,-1.183286389113965e+18,7.378697629483821e+19
x14_b2,0.0,-1.1378859974732557e+18,7.378697629483821e+19
x15_b0,0.0,-9.020192113847547e+17,7.378697629483821e+19
x16_b0,0.0,-1.7887585384842332e+18,7.378697629483821e+19
x17_b0,0.0,-1.6590169903499233e+18,7.378697629483821e+19
x18_b0,0.0,-1.948564531531867e+17,7.378697629483821e+19
x18_b1,0.0,-9.600237426332417e+17,7.378697629483821e+19
x19_b0,0.0,-9.979041683457531e+17,7.378697629483821e+19
x19_b1,0.0,-2.2127563149475016e+18,7.378697629483821e+19
x20_b0,0.0,-1.205848802654566e+18,7.378697629483821e+19
x20_b1,0.0,-1.9003019954859796e+18,7.378697629483821e+19
x21_b0,0.0,-1.9937955761318984e+18,7.378697629483821e+19
x22_b0,0.0,-3.717650373097929e+17,7.378697629483821e+19
x22_b1,0.0,-6.461101513140818e+17,7.378697629483821e+19
x22_b2,0.0,-9.819805775850537e+17,7.378697629483821e+19
x23_b0,0.0,-1.2117783492059016e+18,7.378697629483821e+19
x24_b0,0.0,-1.0650303113573584e+17,7.378697629483821e+19
x24_b1,0.0,-2.3089350397703293e+17,7.378697629483821e+19
x25_b0,0.0,-3.886174804766986e+17,7.378697629483821e+19
x25_b1,0.0,-9.364019358458871e+17,7.378697629483821e+19
x27_b0,0.0,-6.677239018996772e+17,7.378697629483821e+19
x27_b1,0.0,-1.6179755313696297e+18,7.378697629483821e+19
x28_b0,0.0,-1.3754674215474235e+18,7.378697629483821e+19
x29_b0,0.0,-2.576997392636081e+17,7.378697629483821e+19
x29_b1,0.0,-8.3014852264367e+17,7.378697629483821e+19
x30_b0,0.0,-2.1433380140978412e+18,7.378697629483821e+19
x30_b1,0.0,-5.141412747846472e+16,7.378697629483821e+19
x31_b0,0.0,-1.0285538970722486e+18,7.378697629483821e+19
x31_b1,0.0,-1.2635999719327977e+18,7.378697629483821e+19
x33_b0,0.0,-2.8563212728686863e+18,7.378697629483821e+19
x33_b1,0.0,-1.2721904095750154e+18,7.378697629483821e+19
x34_b0,0.0,-1.1834662686990213e+18,7.378697629483821e+19
x35_b0,0.0,-1.2325660126873147e+18,7.378697629483821e+19
x36_b0,0.0,-1.375123623623853e+18,7.378697629483821e+19
x36_b1,0.0,-1.3911851563611653e+18,7.378697629483821e+19
x37_b0,0.0,-1.1063672087964746e+18,7.378697629483821e+19
x37_b1,0.0,-3.143726988866307e+18,7.378697629483821e+19
x38_b0,0.0,-2.260074395847321e+18,7.378697629483821e+19
x38_b1,0.0,-5.999156332694066e+17,7.378697629483821e+19
x39_b0,0.0,-1.055039893758104e+18,7.378697629483821e+19
x39_b1,0.0,-3.8004624485136083e+17,7.378697629483821e+19
x39_b2,0.0,-7.601657410603547e+17,7.378697629483821e+19
x40_b0,0.0,-7.594798509549338e+17,7.378697629483821e+19
x41_b0,0.0,-1.1858291905472598e+17,7.378697629483821e+19
x41_b1,0.0,-2.394285708111152e+18,7.378697629483821e+19
x42_b0,0.0,-7.051726320962136e+17,7.378697629483821e+19
x42_b1,0.0,-1.5091054459505546e+18,7.378697629483821e+19
x43_b0,0.0,-4.8211929056916506e+17,7.378697629483821e+19
x43_b1,0.0,-4.7483421932895763e+17,7.378697629483821e+19
