bit,information_gain,shapley,p_value_strength
x0_b0,0.0,-4336674949118.5312,140737488355328.0
x0_b1,0.0,-4004331182936.7656,140737488355328.0
x0_b2,0.0,-1499785475511.0,140737488355328.0
x0_b3,0.0,-3622832418969.8438,140737488355328.0
x1_b0,0.0,-1734468109905.0625,140737488355328.0
x1_b1,0.0,-3010571294562.5312,140737488355328.0
x1_b2,0.0,-2419318907800.672,140737488355328.0
x2_b0,0.0,-2732483535078.125,140737488355328.0
x2_b1,0.0,-2687861082586.25,140737488355328.0
x2_b2,0.0,-1267907016614.0156,140737488355328.0
x3_b0,0.0,-1801158302971.125,140737488355328.0
x3_b1,0.0,-1985912770358.0625,140737488355328.0
x3_b2,0.0,-4016626799499.8906,140737488355328.0
x4_b0,0.0,-4501296835505.6875,140737488355328.0
x4_b1,0.0,-1431778316321.9219,140737488355328.0
x4_b2,0.0,-1957037506146.3594,140737488355328.0
x5_b0,0.0,-3327646351175.6406,140737488355328.0
x5_b1,0.0,-3657676283293.6406,140737488355328.0
x5_b2,0.0,-3330051600596.1094,140737488355328.0
x5_b3,0.0,-2168298996434.7812,140737488355328.0
x6_b0,0.0,-4426431085067.25,140737488355328.0
x6_b1,0.0,-2724451021201.875,140737488355328.0
x6_b2,0.0,-2499379071936.6562,140737488355328.0
x6_b3,0.0,-5922555891359.375,140737488355328.0
x6_b4,0.0,-3565653266468.422,140737488355328.0
x7_b0,0.0,-3974217252050.703,140737488355328.0
x7_b1,0.0,-1631701087107.6875,140737488355328.0
x8_b0,0.0,-3846620290312.5938,140737488355328.0
x8_b1,0.0,-4753984548495.141,140737488355328.0
x8_b2,0.0,-3846733339851.0625,140737488355328.0
x9_b0,0.0,-2277168836230.5938,140737488355328.0
x9_b1,0.0,-1814039503543.1875,140737488355328.0
x9_b2,0.0,-2323984813255.8594,140737488355328.0
x9_b3,0.0,-2471847745937.172,140737488355328.0
x9_b4,0.0,-2280819710774.922,140737488355328.0
x10_b0,0.0,-5353569966246.0625,140737488355328.0
x10_b1,0.0,-2306309324934.078,140737488355328.0
x10_b2,0.0,-1082414834678.25,140737488355328.0
x10_b3,0.0,-1132589114881.0,140737488355328.0
x11_b0,0.0,-4018632229306.3594,140737488355328.0
x11_b1,0.0,-1890921106855.4531,140737488355328.0
x11_b2,0.0,-3152453647755.4375,140737488355328.0
x11_b3,0.0,-4613706415036.3125,140737488355328.0
x12_b0,0.0,-2253393433556.5156,140737488355328.0
x12_b1,0.0,-317053826842.7344,140737488355328.0
x12_b2,0.0,-6547186375408.281,140737488355328.0
x12_b3,0.0,-4215952880848.0,140737488355328.0
