bit,information_gain,shapley,p_value_strength
x0_b0,0.0,-5.400866316308716e+36,3.402823669209385e+38
x0_b1,0.0,-8.412850876089665e+36,3.402823669209385e+38
x0_b2,0.0,-2.692451861393997e+36,3.402823669209385e+38
x0_b3,0.0,-3.615356796281396e+36,3.402823669209385e+38
x0_b4,0.0,-4.6786394529153184e+36,3.402823669209385e+38
x1_b0,0.0,-4.4119647548717097e+36,3.402823669209385e+38
x1_b1,0.0,-2.728416480326942e+35,3.402823669209385e+38
x1_b2,0.0,-5.844589933618151e+36,3.402823669209385e+38
x1_b3,0.0,-1.583719505026581e+36,3.402823669209385e+38
x2_b0,0.0,-7.013264482343884e+35,3.402823669209385e+38
x2_b1,0.0,-1.0842992395029778e+35,3.402823669209385e+38
x2_b2,0.0,-3.7003461977493075e+36,3.402823669209385e+38
x3_b0,0.0,-2.498933971352399e+35,3.402823669209385e+38
x3_b1,0.0,-4.9874154947966133e+36,3.402823669209385e+38
x3_b2,0.0,-1.417310182995054e+36,3.402823669209385e+38
x3_b3,0.0,-5.661960104332567e+36,3.402823669209385e+38
x4_b0,0.0,-2.7208919097803763e+36,3.402823669209385e+38
x4_b1,0.0,-2.927208800745243e+36,3.402823669209385e+38
x4_b2,0.0,-3.350026781988178e+35,3.402823669209385e+38
x4_b3,0.0,-4.21875583159797e+35,3.402823669209385e+38
x5_b0,0.0,-3.8010351965444686e+36,3.402823669209385e+38
x5_b1,0.0,-1.0425276048274317e+36,3.402823669209385e+38
x5_b2,0.0,-4.543007912500105e+32,3.402823669209385e+38
x5_b3,0.0,-2.3401036629160918e+36,3.402823669209385e+38
x6_b0,0.0,-2.23492664200707e+35,3.402823669209385e+38
x6_b1,0.0,-5.350013588744781e+36,3.402823669209385e+38
x6_b2,0.0,-5.498042904643394e+36,3.402823669209385e+38
x6_b3,0.0,-5.224121383223733e+36,3.402823669209385e+38
x7_b0,0.0,-1.4623845749173737e+36,3.402823669209385e+38
x7_b1,0.0,-1.6073488109550813e+36,3.402823669209385e+38
x7_b2,0.0,-1.4396480621358336e+36,3.402823669209385e+38
x7_b3,0.0,-4.292855125904207e+36,3.402823669209385e+38
x8_b0,0.0,-6.080452210910113e+36,3.402823669209385e+38
x8_b1,0.0,-1.5180271602903133e+36,3.402823669209385e+38
x8_b2,0.0,-3.6767699551759575e+36,3.402823669209385e+38
x8_b3,0.0,-9.971292800236685e+35,3.402823669209385e+38
x9_b0,0.0,-2.8275712806189057e+36,3.402823669209385e+38
x9_b1,0.0,-1.5945548883208113e+36,3.402823669209385e+38
x9_b2,0.0,-4.237564607558671e+36,3.402823669209385e+38
