dataset,trees_requested,trees_composed,budget,selector,frontier_leaves,peak_nodes,splits,runtime_seconds,input_bits,labels,run_dir
appendicitis,10,10,20000,info_gain,1,9465,0,1.2149507999997695,38,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_10\B_20000\selector_info_gain
appendicitis,10,10,20000,modal,1,9465,0,1.1769584999999552,38,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_10\B_20000\selector_modal
appendicitis,10,10,20000,p_value,1,9465,0,1.2149336000002222,38,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_10\B_20000\selector_p_value
appendicitis,10,10,20000,random_node,1,9465,0,1.225183300000026,38,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_10\B_20000\selector_random_node
appendicitis,10,10,20000,shapley,1,9465,0,1.2031207999998514,38,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_10\B_20000\selector_shapley
appendicitis,5,5,20000,info_gain,1,781,0,1.1351761999999326,38,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_5\B_20000\selector_info_gain
appendicitis,5,5,20000,modal,1,781,0,6.82575339999994,38,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_5\B_20000\selector_modal
appendicitis,5,5,20000,p_value,1,781,0,1.1475325000001249,38,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_5\B_20000\selector_p_value
appendicitis,5,5,20000,random_node,1,781,0,1.0952910999999403,38,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_5\B_20000\selector_random_node
appendicitis,5,5,20000,shapley,1,781,0,1.0975174000000152,38,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_5\B_20000\selector_shapley
banknote,10,10,20000,info_gain,126,34264,125,9.157562100000176,32,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_10\B_20000\selector_info_gain
banknote,10,10,20000,modal,126,34264,125,8.777950300000043,32,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_10\B_20000\selector_modal
banknote,10,10,20000,p_value,126,34264,125,9.396270599999752,32,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_10\B_20000\selector_p_value
banknote,10,10,20000,random_node,250,30936,249,116.72705599999972,32,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_10\B_20000\selector_random_node
banknote,10,10,20000,shapley,227,32374,226,117.52899900000013,32,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_10\B_20000\selector_shapley
banknote,5,5,20000,info_gain,9,22945,8,1.7825259000001097,32,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_5\B_20000\selector_info_gain
banknote,5,5,20000,modal,9,22945,8,1.6397268000000622,32,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_5\B_20000\selector_modal
banknote,5,5,20000,p_value,9,22945,8,1.7843692000001283,32,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_5\B_20000\selector_p_value
banknote,5,5,20000,random_node,4,22945,3,2.624022100000275,32,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_5\B_20000\selector_random_node
banknote,5,5,20000,shapley,5,22945,4,1.967851200000041,32,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_5\B_20000\selector_shapley
breast-cancer,10,10,20000,info_gain,1,4618,0,1.1332040999996025,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_10\B_20000\selector_info_gain
breast-cancer,10,10,20000,modal,1,4618,0,1.2107129999999415,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_10\B_20000\selector_modal
breast-cancer,10,10,20000,p_value,1,4618,0,1.1985701000003246,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_10\B_20000\selector_p_value
breast-cancer,10,10,20000,random_node,1,4618,0,1.2874520999994274,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_10\B_20000\selector_random_node
breast-cancer,10,10,20000,shapley,1,4618,0,1.144327599999997,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_10\B_20000\selector_shapley
breast-cancer,5,5,20000,info_gain,1,804,0,1.678672099999858,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_5\B_20000\selector_info_gain
breast-cancer,5,5,20000,modal,1,804,0,1.1015846999999894,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_5\B_20000\selector_modal
breast-cancer,5,5,20000,p_value,1,804,0,1.1370489999999336,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_5\B_20000\selector_p_value
breast-cancer,5,5,20000,random_node,1,804,0,1.088921499999742,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_5\B_20000\selector_random_node
breast-cancer,5,5,20000,shapley,1,804,0,1.2005890999998885,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_5\B_20000\selector_shapley
bupa,10,10,20000,info_gain,4440,40829,4439,176.7289807999996,37,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_10\B_20000\selector_info_gain
bupa,10,10,20000,modal,4440,40829,4439,191.31509500000004,37,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_10\B_20000\selector_modal
bupa,10,10,20000,p_value,4440,40829,4439,185.2842682999999,37,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_10\B_20000\selector_p_value
bupa,5,5,20000,info_gain,523,40829,522,14.89328679999926,37,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_5\B_20000\selector_info_gain
bupa,5,5,20000,modal,523,40829,522,16.126402900000016,37,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_5\B_20000\selector_modal
bupa,5,5,20000,p_value,523,40829,522,17.18592119999994,37,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_5\B_20000\selector_p_value
bupa,5,5,20000,random_node,165,43243,164,70.6120250999993,37,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_5\B_20000\selector_random_node
ecoli,10,10,20000,info_gain,4914,37517,4913,165.90133609999975,36,0|1|2|3|4,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_10\B_20000\selector_info_gain
ecoli,10,10,20000,modal,4914,37517,4913,197.2252188,36,0|1|2|3|4,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_10\B_20000\selector_modal
ecoli,10,10,20000,p_value,4914,37517,4913,185.3083917000004,36,0|1|2|3|4,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_10\B_20000\selector_p_value
ecoli,5,5,20000,info_gain,64,32823,63,3.8175722000005408,36,0|1|2|3|4,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_5\B_20000\selector_info_gain
ecoli,5,5,20000,modal,64,32823,63,8.15219609999997,36,0|1|2|3|4,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_5\B_20000\selector_modal
