sample_id,target_label,robustness,changed_bits,untargeted_radius
0,0,4.0,"x0_b2,x0_b3,x0_b4,x6_b5",4.0
0,1,0.0,,4.0
1,0,1.0,x0_b3,1.0
1,1,0.0,,1.0
2,0,0.0,,2.0
2,1,2.0,"x4_b5,x6_b5",2.0
3,0,4.0,"x0_b2,x0_b4,x1_b1,x4_b5",4.0
3,1,0.0,,4.0
4,0,1.0,x0_b0,1.0
4,1,0.0,,1.0
5,0,4.0,"x0_b2,x0_b4,x1_b1,x4_b5",4.0
5,1,0.0,,4.0
6,0,2.0,"x0_b3,x0_b4",2.0
6,1,0.0,,2.0
7,0,3.0,"x0_b3,x2_b0,x2_b3",3.0
7,1,0.0,,3.0
8,0,4.0,"x0_b3,x0_b4,x2_b0,x4_b4",4.0
8,1,0.0,,4.0
9,0,4.0,"x0_b2,x0_b4,x1_b1,x4_b4",4.0
9,1,0.0,,4.0
