bit,information_gain,shapley,p_value_strength
x0_b0,0.0,-60777128.75,4294967296.0
x0_b1,0.0,-105440818.9375,4294967296.0
x0_b2,0.0,-88661053.125,4294967296.0
x0_b3,0.0,-249491371.046875,4294967296.0
x0_b4,0.0,-147001882.578125,4294967296.0
x0_b5,0.0,-127637726.4375,4294967296.0
x0_b6,0.0,-68435528.203125,4294967296.0
x0_b7,0.0,-246726265.03125,4294967296.0
x1_b0,0.0,-150007015.921875,4294967296.0
x1_b1,0.0,-115664842.8125,4294967296.0
x1_b2,0.0,-43863569.421875,4294967296.0
x1_b3,0.0,-175869744.234375,4294967296.0
x1_b4,0.0,-112856630.953125,4294967296.0
x1_b5,0.0,-196049580.71875,4294967296.0
x1_b6,0.0,-185419244.84375,4294967296.0
x1_b7,0.0,-103994757.671875,4294967296.0
x2_b0,0.0,-166895826.421875,4294967296.0
x2_b1,0.0,-147716269.234375,4294967296.0
x2_b2,0.0,-162191915.828125,4294967296.0
x2_b3,0.0,-162436499.28125,4294967296.0
x2_b4,0.0,-62164335.6875,4294967296.0
x2_b5,0.0,-141314780.078125,4294967296.0
x2_b6,0.0,-135972851.09375,4294967296.0
x2_b7,0.0,-186454720.765625,4294967296.0
x3_b0,0.0,-65581504.015625,4294967296.0
x3_b1,0.0,-126698691.46875,4294967296.0
x3_b2,0.0,-91545201.53125,4294967296.0
x3_b3,0.0,-75615322.8125,4294967296.0
x3_b4,0.0,-187867500.265625,4294967296.0
x3_b5,0.0,-142436451.9375,4294967296.0
x3_b6,0.0,-98092891.0625,4294967296.0
x3_b7,0.0,-164085372.828125,4294967296.0
