sample_id,target_label,robustness,changed_bits,untargeted_radius
0,0,0.0,,1.0
0,1,1.0,x6_b6,1.0
0,2,3.0,"x0_b6,x5_b6,x6_b6",1.0
0,3,2.0,"x1_b6,x4_b6",1.0
0,4,2.0,"x0_b6,x1_b6",1.0
1,0,1.0,,1.0
1,1,0.0,,1.0
1,2,2.0,"x0_b6,x6_b2",1.0
1,3,2.0,x4_b6,1.0
1,4,2.0,x0_b6,1.0
2,0,1.0,,1.0
2,1,1.0,,1.0
2,2,0.0,,1.0
2,3,2.0,x6_b5,1.0
2,4,3.0,"x1_b6,x6_b4",1.0
3,0,1.0,x6_b6,1.0
3,1,0.0,,1.0
3,2,4.0,"x0_b6,x1_b2,x1_b4",1.0
3,3,2.0,"x1_b6,x6_b6",1.0
3,4,3.0,"x0_b6,x1_b6,x6_b6",1.0
4,0,0.0,,2.0
4,1,2.0,"x5_b6,x6_b6",2.0
4,2,3.0,"x0_b6,x5_b6,x6_b6",2.0
4,3,3.0,"x1_b6,x4_b6,x5_b6",2.0
4,4,2.0,"x0_b6,x1_b6",2.0
5,0,0.0,,1.0
5,1,1.0,x6_b5,1.0
5,2,3.0,"x4_b5,x5_b6",1.0
5,3,2.0,"x0_b5,x5_b6",1.0
5,4,2.0,"x0_b5,x1_b6",1.0
6,0,1.0,,1.0
6,1,0.0,,1.0
6,2,1.0,x0_b3,1.0
6,3,2.0,"x1_b5,x6_b6",1.0
6,4,2.0,"x1_b6,x6_b6",1.0
7,0,0.0,,1.0
7,1,1.0,,1.0
7,2,2.0,x0_b6,1.0
7,3,1.0,x1_b6,1.0
7,4,3.0,"x0_b6,x1_b6,x4_b6",1.0
8,0,1.0,,1.0
8,1,1.0,x6_b5,1.0
8,2,1.0,x5_b4,1.0
8,3,1.0,x6_b2,1.0
8,4,0.0,,1.0
9,0,1.0,x0_b2,1.0
9,1,1.0,,1.0
9,2,0.0,,1.0
9,3,1.0,x4_b4,1.0
9,4,1.0,x1_b6,1.0
