bit,information_gain,shapley,p_value_strength
x0_b0,0.0,-1855.421875,32768.0
x0_b1,0.0,-1889.359375,32768.0
x0_b2,0.0,-2370.40625,32768.0
x0_b3,0.0,-3015.421875,32768.0
x0_b4,0.0,-1876.328125,32768.0
x0_b5,0.0,-1963.78125,32768.0
x1_b0,0.0,-2778.484375,32768.0
x1_b1,0.0,-2840.984375,32768.0
x1_b2,0.0,-2245.71875,32768.0
x1_b3,0.0,-1269.421875,32768.0
x2_b0,0.0,-2185.4375,32768.0
x2_b1,0.0,-1878.890625,32768.0
x2_b2,0.0,-2307.6875,32768.0
x2_b3,0.0,-2411.453125,32768.0
x2_b4,0.0,-1878.203125,32768.0
