bit,information_gain,shapley,p_value_strength
x0_b0,0.0,-435211849.140625,17179869184.0
x0_b1,0.0,-744345153.328125,17179869184.0
x0_b2,0.0,-328152547.265625,17179869184.0
x0_b3,0.0,-587609030.546875,17179869184.0
x0_b4,0.0,-525630413.4375,17179869184.0
x1_b0,0.0,-493560131.21875,17179869184.0
x2_b0,0.0,-464779461.375,17179869184.0
x2_b1,0.0,-401686440.03125,17179869184.0
x3_b0,0.0,-536653761.125,17179869184.0
x3_b1,0.0,-221079682.46875,17179869184.0
x3_b2,0.0,-381496374.859375,17179869184.0
x3_b3,0.0,-672281384.546875,17179869184.0
x3_b4,0.0,-271590440.453125,17179869184.0
x4_b0,0.0,-497618334.84375,17179869184.0
x4_b1,0.0,-356104848.578125,17179869184.0
x4_b2,0.0,-505740239.421875,17179869184.0
x4_b3,0.0,-717116327.046875,17179869184.0
x4_b4,0.0,-246611442.484375,17179869184.0
x4_b5,0.0,-410539318.46875,17179869184.0
x5_b0,0.0,-269341194.9375,17179869184.0
x6_b0,0.0,-367294555.390625,17179869184.0
x7_b0,0.0,-531494773.703125,17179869184.0
x7_b1,0.0,-395988407.96875,17179869184.0
x7_b2,0.0,-421445104.734375,17179869184.0
x7_b3,0.0,-612208195.6875,17179869184.0
x7_b4,0.0,-1210128347.859375,17179869184.0
x8_b0,0.0,-627537044.5625,17179869184.0
x9_b0,0.0,-639762472.28125,17179869184.0
x9_b1,0.0,-1172947816.203125,17179869184.0
x9_b2,0.0,-208669567.46875,17179869184.0
x10_b0,0.0,-417354443.03125,17179869184.0
x10_b1,0.0,-681144125.265625,17179869184.0
x12_b0,0.0,-489908689.4375,17179869184.0
x12_b1,0.0,-336837263.828125,17179869184.0
