bit,information_gain,shapley,p_value_strength
x0_b0,0.0,-777126405599.4531,35184372088832.0
x0_b1,0.0,-1013996734584.4062,35184372088832.0
x0_b2,0.0,-981630295039.0938,35184372088832.0
x0_b3,0.0,-797440897002.2188,35184372088832.0
x0_b4,0.0,-319468942398.65625,35184372088832.0
x0_b5,0.0,-493363995649.84375,35184372088832.0
x1_b0,0.0,-1164705253052.1875,35184372088832.0
x1_b1,0.0,-456727637321.78125,35184372088832.0
x1_b2,0.0,-991297472997.3281,35184372088832.0
x1_b3,0.0,-484181771827.2969,35184372088832.0
x1_b4,0.0,-1024426018886.6562,35184372088832.0
x1_b5,0.0,-432842390341.9375,35184372088832.0
x2_b0,0.0,-365424394140.34375,35184372088832.0
x2_b1,0.0,-1283195909777.0781,35184372088832.0
x2_b2,0.0,-1128735590379.9688,35184372088832.0
x2_b3,0.0,-901609854539.4219,35184372088832.0
x2_b4,0.0,-278820286289.5,35184372088832.0
x2_b5,0.0,-1143820351554.0156,35184372088832.0
x3_b0,0.0,-401734091846.9219,35184372088832.0
x3_b1,0.0,-655785764325.8438,35184372088832.0
x3_b2,0.0,-881454957693.25,35184372088832.0
x3_b3,0.0,-324880435929.71875,35184372088832.0
x3_b4,0.0,-470418949822.09375,35184372088832.0
x3_b5,0.0,-1114767444076.8438,35184372088832.0
x4_b0,0.0,-584799253007.375,35184372088832.0
x5_b0,0.0,-861779147502.6875,35184372088832.0
x5_b1,0.0,-790839239384.5156,35184372088832.0
x5_b2,0.0,-219674410890.125,35184372088832.0
x5_b3,0.0,-612310298369.1406,35184372088832.0
x5_b4,0.0,-472663747732.6406,35184372088832.0
x6_b0,0.0,-1134882144244.75,35184372088832.0
x6_b1,0.0,-768972184343.6562,35184372088832.0
x6_b2,0.0,-887967642381.4688,35184372088832.0
x6_b3,0.0,-365250240158.28125,35184372088832.0
x6_b4,0.0,-833671254059.4375,35184372088832.0
x7_b0,0.0,-526166908946.6094,35184372088832.0
x7_b1,0.0,-1088846448523.7969,35184372088832.0
x7_b2,0.0,-984666126105.0469,35184372088832.0
x7_b3,0.0,-658074717875.4688,35184372088832.0
x7_b4,0.0,-1735819706670.3906,35184372088832.0
x8_b0,0.0,-306007847466.875,35184372088832.0
x8_b1,0.0,-954522096529.8594,35184372088832.0
x8_b2,0.0,-1693704059044.2031,35184372088832.0
x8_b3,0.0,-768722458546.8125,35184372088832.0
x8_b4,0.0,-1047176311972.0,35184372088832.0
