sample_id,target_label,robustness,changed_bits,untargeted_radius
0,0,0.0,,1.0
0,1,1.0,x2_b3,1.0
0,2,2.0,"x2_b4,x3_b3",1.0
1,0,1.0,x3_b3,1.0
1,1,1.0,x2_b2,1.0
1,2,0.0,,1.0
2,0,1.0,x2_b2,1.0
2,1,0.0,,1.0
2,2,1.0,x2_b4,1.0
3,0,1.0,x2_b2,1.0
3,1,0.0,,1.0
3,2,1.0,x2_b4,1.0
4,0,0.0,,1.0
4,1,1.0,x2_b3,1.0
4,2,2.0,"x2_b4,x3_b3",1.0
5,0,1.0,x2_b3,1.0
5,1,0.0,,1.0
5,2,1.0,x3_b3,1.0
6,0,0.0,,1.0
6,1,1.0,x2_b3,1.0
6,2,2.0,"x2_b4,x3_b3",1.0
7,0,0.0,,1.0
7,1,1.0,x2_b3,1.0
7,2,2.0,"x2_b4,x3_b3",1.0
8,0,1.0,x2_b4,1.0
8,1,1.0,x3_b3,1.0
8,2,0.0,,1.0
9,0,1.0,x2_b3,1.0
9,1,0.0,,1.0
9,2,1.0,x2_b4,1.0
