sample_id,target_label,robustness,changed_bits,untargeted_radius
0,0,0.0,,1.0
0,1,1.0,x0_b3,1.0
0,2,2.0,"x1_b2,x1_b4",1.0
1,0,2.0,"x1_b5,x3_b5",2.0
1,1,3.0,"x0_b3,x2_b3,x2_b4",2.0
1,2,0.0,,2.0
2,0,0.0,,1.0
2,1,1.0,x1_b5,1.0
2,2,2.0,"x1_b2,x1_b4",1.0
3,0,0.0,,1.0
3,1,1.0,x1_b5,1.0
3,2,2.0,"x1_b3,x4_b3",1.0
4,0,0.0,,2.0
4,1,2.0,"x2_b3,x2_b4",2.0
4,2,2.0,"x1_b1,x1_b3",2.0
5,0,2.0,"x1_b2,x4_b5",2.0
5,1,0.0,,2.0
5,2,4.0,"x1_b3,x1_b5,x2_b3,x4_b5",2.0
6,0,0.0,,1.0
6,1,1.0,x2_b4,1.0
6,2,1.0,x1_b4,1.0
7,0,0.0,,1.0
7,1,1.0,x1_b5,1.0
7,2,2.0,"x1_b0,x1_b4",1.0
8,0,0.0,,1.0
8,1,1.0,x1_b5,1.0
8,2,1.0,x1_b4,1.0
9,0,0.0,,1.0
9,1,1.0,x1_b5,1.0
9,2,2.0,"x1_b2,x4_b5",1.0
