sample_id,target_label,robustness,changed_bits,untargeted_radius
0,0,0.0,,7.0
0,1,7.0,"x10_b2,x16_b7,x3_b8,x4_b8,x5_b6,x8_b3,x9_b2",7.0
1,0,0.0,,8.0
1,1,8.0,"x10_b2,x16_b7,x17_b5,x3_b7,x3_b8,x5_b7,x8_b3,x9_b2",8.0
2,0,0.0,,7.0
2,1,7.0,"x16_b7,x17_b5,x3_b8,x5_b6,x5_b7,x8_b3,x9_b2",7.0
3,0,0.0,,4.0
3,1,4.0,"x3_b8,x4_b8,x8_b3,x9_b2",4.0
4,0,0.0,,6.0
4,1,6.0,"x10_b2,x3_b8,x4_b6,x4_b8,x5_b5,x9_b2",6.0
5,0,0.0,,4.0
5,1,4.0,"x10_b2,x5_b5,x8_b3,x9_b2",4.0
6,0,0.0,,6.0
6,1,6.0,"x10_b2,x16_b5,x3_b8,x4_b8,x5_b4,x9_b2",6.0
7,0,0.0,,3.0
7,1,3.0,"x10_b2,x9_b2",3.0
8,0,0.0,,5.0
8,1,5.0,"x10_b2,x3_b8,x4_b8,x5_b6,x9_b2",5.0
9,0,0.0,,7.0
9,1,7.0,"x16_b7,x17_b5,x3_b7,x3_b8,x4_b8,x8_b3,x9_b2",7.0
