bit,information_gain,shapley,p_value_strength
x0_b0,0.0,-1.299659231210546e+18,1.4757395258967641e+20
x1_b0,0.0,-2.6028029334682516e+18,1.4757395258967641e+20
x1_b1,0.0,-1.7069110290288648e+18,1.4757395258967641e+20
x2_b0,0.0,-1.183667755862393e+18,1.4757395258967641e+20
x3_b0,0.0,-2.0538908663279334e+18,1.4757395258967641e+20
x3_b1,0.0,-3.194123063651381e+18,1.4757395258967641e+20
x3_b2,0.0,-2.5132918886842245e+18,1.4757395258967641e+20
x3_b3,0.0,-2.6816981957451873e+18,1.4757395258967641e+20
x3_b4,0.0,-1.0551689037979735e+18,1.4757395258967641e+20
x3_b5,0.0,-1.3564953560376123e+18,1.4757395258967641e+20
x3_b6,0.0,-1.6775131185506424e+18,1.4757395258967641e+20
x3_b7,0.0,-2.9471185346926377e+18,1.4757395258967641e+20
x3_b8,0.0,-9.875224053149147e+17,1.4757395258967641e+20
x4_b0,0.0,-3.5326179806000394e+18,1.4757395258967641e+20
x4_b1,0.0,-3.7075560980806103e+18,1.4757395258967641e+20
x4_b2,0.0,-2.065586577468337e+18,1.4757395258967641e+20
x4_b3,0.0,-1.2551623953367895e+18,1.4757395258967641e+20
x4_b4,0.0,-2.5563922494781235e+18,1.4757395258967641e+20
x4_b5,0.0,-1.8108876657582986e+18,1.4757395258967641e+20
x4_b6,0.0,-1.7305803947102746e+18,1.4757395258967641e+20
x4_b7,0.0,-2.4277454054757857e+18,1.4757395258967641e+20
x4_b8,0.0,-1.6116887343276155e+18,1.4757395258967641e+20
x5_b0,0.0,-2.0106333955886602e+18,1.4757395258967641e+20
x5_b1,0.0,-4.952554386509348e+18,1.4757395258967641e+20
x5_b2,0.0,-1.9213252718373002e+18,1.4757395258967641e+20
x5_b3,0.0,-1.4144176803881905e+18,1.4757395258967641e+20
x5_b4,0.0,-3.4197904561552026e+18,1.4757395258967641e+20
x5_b5,0.0,-1.7486115241693123e+18,1.4757395258967641e+20
x5_b6,0.0,-1.5052340811906058e+18,1.4757395258967641e+20
x5_b7,0.0,-4.74280395581014e+18,1.4757395258967641e+20
x6_b0,0.0,-7.161062732611816e+17,1.4757395258967641e+20
x6_b1,0.0,-8.0657211131886e+17,1.4757395258967641e+20
x6_b2,0.0,-3.3650875918208947e+18,1.4757395258967641e+20
x6_b3,0.0,-1.7509328720139889e+18,1.4757395258967641e+20
x6_b4,0.0,-1.2010954675019356e+18,1.4757395258967641e+20
x6_b5,0.0,-1.9442757875660692e+18,1.4757395258967641e+20
x6_b6,0.0,-2.288171376620182e+18,1.4757395258967641e+20
x6_b7,0.0,-1.1686759217250173e+18,1.4757395258967641e+20
x7_b0,0.0,-1.6813553825870172e+16,1.4757395258967641e+20
x7_b1,0.0,-1.0001987085932873e+18,1.4757395258967641e+20
x8_b0,0.0,-2.713853653049005e+18,1.4757395258967641e+20
x8_b1,0.0,-1.0677481655121539e+18,1.4757395258967641e+20
x8_b2,0.0,-3.0310185937087473e+18,1.4757395258967641e+20
x8_b3,0.0,-2.8958555458283274e+18,1.4757395258967641e+20
x9_b0,0.0,-2.8946722894998333e+18,1.4757395258967641e+20
x9_b1,0.0,-2.818101846000712e+18,1.4757395258967641e+20
x9_b2,0.0,-4.4707487057235154e+18,1.4757395258967641e+20
x10_b0,0.0,-1.241382703259737e+18,1.4757395258967641e+20
x10_b1,0.0,-4.2913555249267256e+18,1.4757395258967641e+20
x10_b2,0.0,-8.521801645663375e+17,1.4757395258967641e+20
x11_b0,0.0,-2.7480423908568847e+18,1.4757395258967641e+20
x11_b1,0.0,-1.7967811562600218e+18,1.4757395258967641e+20
x12_b0,0.0,-5.3331667644505e+17,1.4757395258967641e+20
x16_b0,0.0,-1.2044832265604588e+18,1.4757395258967641e+20
x16_b1,0.0,-2.8049375560444744e+18,1.4757395258967641e+20
x16_b2,0.0,-2.2684753052447176e+18,1.4757395258967641e+20
x16_b3,0.0,-2.3158493068674154e+17,1.4757395258967641e+20
x16_b4,0.0,-1.2239996757628495e+18,1.4757395258967641e+20
x16_b5,0.0,-2.9931172988908273e+18,1.4757395258967641e+20
x16_b6,0.0,-3.4883963790781983e+18,1.4757395258967641e+20
x16_b7,0.0,-9.794212452637338e+17,1.4757395258967641e+20
x17_b0,0.0,-2.5292388985409664e+18,1.4757395258967641e+20
x17_b1,0.0,-5.646666269686182e+18,1.4757395258967641e+20
x17_b2,0.0,-5.288582912786946e+18,1.4757395258967641e+20
x17_b3,0.0,-1.1678654752882373e+18,1.4757395258967641e+20
x17_b4,0.0,-2.326903574577775e+18,1.4757395258967641e+20
x17_b5,0.0,-2.1338412261227594e+18,1.4757395258967641e+20
