sample_id,target_label,robustness,changed_bits,untargeted_radius
0,0,0.0,,6.0
0,1,6.0,"x16_b7,x3_b8,x4_b8,x5_b6,x8_b3,x9_b2",6.0
1,0,0.0,,5.0
1,1,5.0,"x17_b5,x3_b8,x4_b8,x5_b7,x8_b3",5.0
2,0,0.0,,3.0
2,1,3.0,"x17_b5,x3_b1,x8_b3",3.0
3,0,0.0,,3.0
3,1,3.0,"x3_b8,x8_b3,x9_b2",3.0
4,0,0.0,,4.0
4,1,4.0,"x3_b8,x4_b6,x5_b5,x8_b3",4.0
5,0,0.0,,3.0
5,1,3.0,"x5_b5,x8_b3,x9_b2",3.0
6,0,0.0,,4.0
6,1,4.0,"x16_b5,x3_b8,x5_b4,x9_b2",4.0
7,0,0.0,,2.0
7,1,2.0,"x0_b0,x9_b2",2.0
8,0,0.0,,4.0
8,1,4.0,"x3_b8,x5_b6,x8_b2,x8_b3",4.0
9,0,0.0,,5.0
9,1,5.0,"x17_b5,x3_b0,x3_b8,x4_b6,x8_b3",5.0
