sample_id,target_label,robustness,changed_bits,untargeted_radius
0,0,0.0,,3.0
0,1,3.0,"x12_b0,x7_b0,x9_b0",3.0
1,0,0.0,,3.0
1,1,3.0,"x0_b0,x19_b0,x7_b0",3.0
2,0,1.0,x21_b0,1.0
2,1,0.0,,1.0
3,0,0.0,,2.0
3,1,2.0,"x12_b0,x21_b0",2.0
4,0,0.0,,4.0
4,1,4.0,"x0_b0,x15_b0,x3_b0,x9_b0",4.0
5,0,0.0,,7.0
5,1,7.0,"x0_b0,x12_b0,x13_b0,x15_b0,x20_b0,x21_b0,x3_b0",7.0
6,0,0.0,,5.0
6,1,5.0,"x10_b0,x12_b0,x1_b0,x21_b0,x9_b0",5.0
7,0,0.0,,2.0
7,1,2.0,"x12_b0,x7_b0",2.0
8,0,0.0,,2.0
8,1,2.0,"x12_b0,x19_b0",2.0
9,0,0.0,,7.0
9,1,7.0,"x12_b0,x15_b0,x16_b0,x1_b0,x21_b0,x6_b0,x7_b0",7.0
