bit,information_gain,shapley,p_value_strength
x0_b0,0.0,-194939.484375,4194304.0
x1_b0,0.0,-219368.640625,4194304.0
x2_b0,0.0,-105675.453125,4194304.0
x3_b0,0.0,-138503.859375,4194304.0
x4_b0,0.0,-135969.03125,4194304.0
x5_b0,0.0,-129401.1875,4194304.0
x6_b0,0.0,-261452.515625,4194304.0
x7_b0,0.0,-277089.5,4194304.0
x8_b0,0.0,-108982.265625,4194304.0
x9_b0,0.0,-183705.140625,4194304.0
x10_b0,0.0,-359839.171875,4194304.0
x11_b0,0.0,-171200.171875,4194304.0
x12_b0,0.0,-138752.90625,4194304.0
x13_b0,0.0,-203874.421875,4194304.0
x14_b0,0.0,-165566.625,4194304.0
x15_b0,0.0,-212864.9375,4194304.0
x16_b0,0.0,-166542.78125,4194304.0
x17_b0,0.0,-143615.28125,4194304.0
x18_b0,0.0,-147219.3125,4194304.0
x19_b0,0.0,-190895.390625,4194304.0
x20_b0,0.0,-272235.796875,4194304.0
x21_b0,0.0,-266609.125,4194304.0
