sample_id,target_label,robustness,changed_bits,untargeted_radius
0,0,0.0,,2.0
0,1,2.0,"x7_b0,x9_b0",2.0
1,0,0.0,,2.0
1,1,2.0,"x19_b0,x7_b0",2.0
2,0,1.0,x21_b0,1.0
2,1,0.0,,1.0
3,0,0.0,,2.0
3,1,2.0,"x21_b0,x7_b0",2.0
4,0,0.0,,4.0
4,1,4.0,"x19_b0,x3_b0,x4_b0,x9_b0",4.0
5,0,0.0,,6.0
5,1,6.0,"x12_b0,x15_b0,x19_b0,x20_b0,x21_b0,x3_b0",6.0
6,0,0.0,,4.0
6,1,4.0,"x12_b0,x1_b0,x21_b0,x9_b0",4.0
7,0,0.0,,1.0
7,1,1.0,x7_b0,1.0
8,0,0.0,,2.0
8,1,2.0,"x19_b0,x1_b0",2.0
9,0,0.0,,5.0
9,1,5.0,"x15_b0,x1_b0,x21_b0,x6_b0,x7_b0",5.0
