bit,information_gain,shapley,p_value_strength
x0_b0,0.0,-3807.796875,65536.0
x0_b1,0.0,-6751.78125,65536.0
x0_b2,0.0,-3034.0625,65536.0
x0_b3,0.0,-6560.078125,65536.0
x1_b0,0.0,-3575.859375,65536.0
x1_b1,0.0,-3156.59375,65536.0
x1_b2,0.0,-4070.203125,65536.0
x2_b0,0.0,-2746.90625,65536.0
x2_b1,0.0,-4491.609375,65536.0
x2_b2,0.0,-2938.53125,65536.0
x2_b3,0.0,-5242.09375,65536.0
x2_b4,0.0,-4205.734375,65536.0
x3_b0,0.0,-5161.421875,65536.0
x3_b1,0.0,-4779.640625,65536.0
x3_b2,0.0,-2799.5625,65536.0
x3_b3,0.0,-2213.125,65536.0
